institution,source,member,siconc_grid,experiment,time,year,month,sia_Mkm2,pi_clim_sia_Mkm2,sia_anom_Mkm2
AS-RCEC,TaiESM1,r1i1p1f1,gn,ssp370,2015-01,2015,1,11.829459797817416,12.171782998438609,-0.3423232006211911
AS-RCEC,TaiESM1,r1i1p1f1,gn,ssp370,2015-02,2015,2,12.165752555601191,12.357408541450596,-0.1916559858494029
AS-RCEC,TaiESM1,r1i1p1f1,gn,ssp370,2015-03,2015,3,12.093799225773497,12.36932195358279,-0.2755227278092942
AS-RCEC,TaiESM1,r1i1p1f1,gn,ssp370,2015-04,2015,4,11.416222189742992,12.156422103516965,-0.7401999137739708
AS-RCEC,TaiESM1,r1i1p1f1,gn,ssp370,2015-05,2015,5,10.491189878687727,11.33069284443419,-0.8395029657464619
AS-RCEC,TaiESM1,r1i1p1f1,gn,ssp370,2015-06,2015,6,9.21462679628402,10.038604187352323,-0.8239773910683059
AS-RCEC,TaiESM1,r1i1p1f1,gn,ssp370,2015-07,2015,7,6.292323743223508,8.2236557627676,-1.931332019544091
AS-RCEC,TaiESM1,r1i1p1f1,gn,ssp370,2015-08,2015,8,2.979579171518732,6.320710059933455,-3.341130888414723
AS-RCEC,TaiESM1,r1i1p1f1,gn,ssp370,2015-09,2015,9,2.096330867419524,6.104400177967668,-4.008069310548144
AS-RCEC,TaiESM1,r1i1p1f1,gn,ssp370,2015-10,2015,10,4.061342709919284,7.9061634635335665,-3.8448207536142815
AS-RCEC,TaiESM1,r1i1p1f1,gn,ssp370,2015-11,2015,11,7.865789075068909,10.075817244057376,-2.210028168988467
AS-RCEC,TaiESM1,r1i1p1f1,gn,ssp370,2015-12,2015,12,10.407530785457476,11.527618824822422,-1.120088039364946
AS-RCEC,TaiESM1,r1i1p1f1,gn,ssp370,2016-01,2016,1,11.762631863415702,12.171782998438609,-0.4091511350229062
AS-RCEC,TaiESM1,r1i1p1f1,gn,ssp370,2016-02,2016,2,12.220709332819563,12.357408541450596,-0.1366992086310308
AS-RCEC,TaiESM1,r1i1p1f1,gn,ssp370,2016-03,2016,3,12.269149291677383,12.36932195358279,-0.1001726619054057
AS-RCEC,TaiESM1,r1i1p1f1,gn,ssp370,2016-04,2016,4,11.98628339641002,12.156422103516965,-0.1701387071069415
AS-RCEC,TaiESM1,r1i1p1f1,gn,ssp370,2016-05,2016,5,11.043932875551086,11.33069284443419,-0.2867599688831035
