institution,source,member,siconc_grid,experiment,year,summer_min_time,summer_min_month,summer_min_sia_Mkm2,piControl_mean_summer_min_sia_Mkm2,piControl_std_summer_min_sia_Mkm2,summer_min_sia_anom_Mkm2
AS-RCEC,TaiESM1,r1i1p1f1,gn,ssp370,2015,2015-09,9,2.096331,6.0933228,0.42981696,-3.9969919
AS-RCEC,TaiESM1,r1i1p1f1,gn,ssp370,2016,2016-09,9,4.0856814,6.0933228,0.42981696,-2.0076413
AS-RCEC,TaiESM1,r1i1p1f1,gn,ssp370,2017,2017-09,9,4.0260415,6.0933228,0.42981696,-2.0672812
AS-RCEC,TaiESM1,r1i1p1f1,gn,ssp370,2018,2018-09,9,5.1935124,6.0933228,0.42981696,-0.8998103
AS-RCEC,TaiESM1,r1i1p1f1,gn,ssp370,2019,2019-09,9,3.3543448,6.0933228,0.42981696,-2.738978
AS-RCEC,TaiESM1,r1i1p1f1,gn,ssp370,2020,2020-09,9,4.1535835,6.0933228,0.42981696,-1.9397392
AS-RCEC,TaiESM1,r1i1p1f1,gn,ssp370,2021,2021-09,9,4.00635,6.0933228,0.42981696,-2.0869727
AS-RCEC,TaiESM1,r1i1p1f1,gn,ssp370,2022,2022-09,9,4.2727737,6.0933228,0.42981696,-1.820549
AS-RCEC,TaiESM1,r1i1p1f1,gn,ssp370,2023,2023-09,9,3.4510255,6.0933228,0.42981696,-2.6422973
AS-RCEC,TaiESM1,r1i1p1f1,gn,ssp370,2024,2024-09,9,3.46173,6.0933228,0.42981696,-2.6315928
AS-RCEC,TaiESM1,r1i1p1f1,gn,ssp370,2025,2025-09,9,3.7723467,6.0933228,0.42981696,-2.320976
AS-RCEC,TaiESM1,r1i1p1f1,gn,ssp370,2026,2026-09,9,3.6039422,6.0933228,0.42981696,-2.4893806
AS-RCEC,TaiESM1,r1i1p1f1,gn,ssp370,2027,2027-09,9,4.8187304,6.0933228,0.42981696,-1.2745924
AS-RCEC,TaiESM1,r1i1p1f1,gn,ssp370,2028,2028-09,9,3.9548397,6.0933228,0.42981696,-2.138483
AS-RCEC,TaiESM1,r1i1p1f1,gn,ssp370,2029,2029-09,9,2.5379639,6.0933228,0.42981696,-3.555359
AS-RCEC,TaiESM1,r1i1p1f1,gn,ssp370,2030,2030-09,9,1.6374252,6.0933228,0.42981696,-4.4558973
AS-RCEC,TaiESM1,r1i1p1f1,gn,ssp370,2031,2031-09,9,1.7029765,6.0933228,0.42981696,-4.3903465
AS-RCEC,TaiESM1,r1i1p1f1,gn,ssp370,2032,2032-09,9,1.5705097,6.0933228,0.42981696,-4.522813
AS-RCEC,TaiESM1,r1i1p1f1,gn,ssp370,2033,2033-09,9,1.7231318,6.0933228,0.42981696,-4.370191
AS-RCEC,TaiESM1,r1i1p1f1,gn,ssp370,2034,2034-09,9,2.0807054,6.0933228,0.42981696,-4.012617
AS-RCEC,TaiESM1,r1i1p1f1,gn,ssp370,2035,2035-09,9,1.164238,6.0933228,0.42981696,-4.929085
AS-RCEC,TaiESM1,r1i1p1f1,gn,ssp370,2036,2036-09,9,1.1162734,6.0933228,0.42981696,-4.9770494
AS-RCEC,TaiESM1,r1i1p1f1,gn,ssp370,2037,2037-09,9,1.2416981,6.0933228,0.42981696,-4.8516245
AS-RCEC,TaiESM1,r1i1p1f1,gn,ssp370,2038,2038-09,9,1.3206059,6.0933228,0.42981696,-4.772717
AS-RCEC,TaiESM1,r1i1p1f1,gn,ssp370,2039,2039-09,9,1.7123294,6.0933228,0.42981696,-4.3809934
AS-RCEC,TaiESM1,r1i1p1f1,gn,ssp370,2040,2040-09,9,1.074175,6.0933228,0.42981696,-5.019148
AS-RCEC,TaiESM1,r1i1p1f1,gn,ssp370,2041,2041-09,9,0.96473396,6.0933228,0.42981696,-5.1285887
AS-RCEC,TaiESM1,r1i1p1f1,gn,ssp370,2042,2042-09,9,0.799402,6.0933228,0.42981696,-5.2939205
AS-RCEC,TaiESM1,r1i1p1f1,gn,ssp370,2043,2043-09,9,0.5826406,6.0933228,0.42981696,-5.510682
AS-RCEC,TaiESM1,r1i1p1f1,gn,ssp370,2044,2044-09,9,0.40288362,6.0933228,0.42981696,-5.690439
AS-RCEC,TaiESM1,r1i1p1f1,gn,ssp370,2045,2045-09,9,0.6609516,6.0933228,0.42981696,-5.432371
AS-RCEC,TaiESM1,r1i1p1f1,gn,ssp370,2046,2046-09,9,0.9618795,6.0933228,0.42981696,-5.131443
AS-RCEC,TaiESM1,r1i1p1f1,gn,ssp370,2047,2047-09,9,0.6673359,6.0933228,0.42981696,-5.425987
AS-RCEC,TaiESM1,r1i1p1f1,gn,ssp370,2048,2048-09,9,0.4166747,6.0933228,0.42981696,-5.676648
AS-RCEC,TaiESM1,r1i1p1f1,gn,ssp370,2049,2049-09,9,0.46656165,6.0933228,0.42981696,-5.626761
AS-RCEC,TaiESM1,r1i1p1f1,gn,ssp370,2050,2050-09,9,0.37508756,6.0933228,0.42981696,-5.718235
AS-RCEC,TaiESM1,r1i1p1f1,gn,ssp370,2051,2051-09,9,0.6483174,6.0933228,0.42981696,-5.4450054
AS-RCEC,TaiESM1,r1i1p1f1,gn,ssp370,2052,2052-09,9,0.4298916,6.0933228,0.42981696,-5.663431
AS-RCEC,TaiESM1,r1i1p1f1,gn,ssp370,2053,2053-09,9,0.33000043,6.0933228,0.42981696,-5.7633224
AS-RCEC,TaiESM1,r1i1p1f1,gn,ssp370,2054,2054-09,9,0.36239257,6.0933228,0.42981696,-5.7309303
AS-RCEC,TaiESM1,r1i1p1f1,gn,ssp370,2055,2055-09,9,0.23086329,6.0933228,0.42981696,-5.8624597
AS-RCEC,TaiESM1,r1i1p1f1,gn,ssp370,2056,2056-09,9,0.20797582,6.0933228,0.42981696,-5.885347
AS-RCEC,TaiESM1,r1i1p1f1,gn,ssp370,2057,2057-09,9,0.23097037,6.0933228,0.42981696,-5.8623524
AS-RCEC,TaiESM1,r1i1p1f1,gn,ssp370,2058,2058-09,9,0.12135448,6.0933228,0.42981696,-5.971968
AS-RCEC,TaiESM1,r1i1p1f1,gn,ssp370,2059,2059-09,9,0.11534336,6.0933228,0.42981696,-5.977979
AS-RCEC,TaiESM1,r1i1p1f1,gn,ssp370,2060,2060-09,9,0.16986895,6.0933228,0.42981696,-5.923454
AS-RCEC,TaiESM1,r1i1p1f1,gn,ssp370,2061,2061-09,9,0.23731233,6.0933228,0.42981696,-5.8560104
