institution,source,member,grid,experiment,year,seb_Wm2,seb_anom_Wm2
CSIRO,ACCESS-ESM1-5,r1i1p1f1,gn,ssp585,2015,-24.621234363092853,-1.8686080245706673
CSIRO,ACCESS-ESM1-5,r1i1p1f1,gn,ssp585,2016,-21.273668139877856,1.4789581986443274
CSIRO,ACCESS-ESM1-5,r1i1p1f1,gn,ssp585,2017,-22.415591972362463,0.33703436615972243
CSIRO,ACCESS-ESM1-5,r1i1p1f1,gn,ssp585,2018,-22.259452541139613,0.4931737973825718
CSIRO,ACCESS-ESM1-5,r1i1p1f1,gn,ssp585,2019,-20.758012066409005,1.9946142721131792
CSIRO,ACCESS-ESM1-5,r1i1p1f1,gn,ssp585,2020,-22.63290939954992,0.11971693897226181
CSIRO,ACCESS-ESM1-5,r1i1p1f1,gn,ssp585,2021,-22.532864625508825,0.21976171301335926
CSIRO,ACCESS-ESM1-5,r1i1p1f1,gn,ssp585,2022,-24.174355417561824,-1.4217290790396389
CSIRO,ACCESS-ESM1-5,r1i1p1f1,gn,ssp585,2023,-22.24918455097257,0.5034417875496184
CSIRO,ACCESS-ESM1-5,r1i1p1f1,gn,ssp585,2024,-24.036075733537228,-1.2834493950150387
CSIRO,ACCESS-ESM1-5,r1i1p1f1,gn,ssp585,2025,-27.294603730857443,-4.5419773923352595
CSIRO,ACCESS-ESM1-5,r1i1p1f1,gn,ssp585,2026,-21.593779030741356,1.1588473077808297
CSIRO,ACCESS-ESM1-5,r1i1p1f1,gn,ssp585,2027,-21.53664045324065,1.215985885281534
CSIRO,ACCESS-ESM1-5,r1i1p1f1,gn,ssp585,2028,-21.9446469395272,0.8079793989949856
CSIRO,ACCESS-ESM1-5,r1i1p1f1,gn,ssp585,2029,-20.552430276548247,2.2001960619739394
CSIRO,ACCESS-ESM1-5,r1i1p1f1,gn,ssp585,2030,-18.25065284747124,4.501973491050944
CSIRO,ACCESS-ESM1-5,r1i1p1f1,gn,ssp585,2031,-21.51042724977142,1.2421990887507635
CSIRO,ACCESS-ESM1-5,r1i1p1f1,gn,ssp585,2032,-25.01836150913823,-2.2657351706160465
CSIRO,ACCESS-ESM1-5,r1i1p1f1,gn,ssp585,2033,-23.75405439713286,-1.0014280586106765
CSIRO,ACCESS-ESM1-5,r1i1p1f1,gn,ssp585,2034,-22.531034778429937,0.22159156009224615
CSIRO,ACCESS-ESM1-5,r1i1p1f1,gn,ssp585,2035,-23.52311900481088,-0.7704926662886953
CSIRO,ACCESS-ESM1-5,r1i1p1f1,gn,ssp585,2036,-19.179474333814667,3.573152004707517
CSIRO,ACCESS-ESM1-5,r1i1p1f1,gn,ssp585,2037,-18.42715090554685,4.325475432975335
CSIRO,ACCESS-ESM1-5,r1i1p1f1,gn,ssp585,2038,-20.268293842241828,2.4843324962803575
CSIRO,ACCESS-ESM1-5,r1i1p1f1,gn,ssp585,2039,-17.104869572174394,5.647756766347791
CSIRO,ACCESS-ESM1-5,r1i1p1f1,gn,ssp585,2040,-20.021440172681015,2.731186165841168
CSIRO,ACCESS-ESM1-5,r1i1p1f1,gn,ssp585,2041,-20.306463184959295,2.446163153562892
CSIRO,ACCESS-ESM1-5,r1i1p1f1,gn,ssp585,2042,-21.62542259971976,1.1272037388024272
CSIRO,ACCESS-ESM1-5,r1i1p1f1,gn,ssp585,2043,-18.404428554971194,4.348197783550991
CSIRO,ACCESS-ESM1-5,r1i1p1f1,gn,ssp585,2044,-20.92292429394809,1.8297020445740946
CSIRO,ACCESS-ESM1-5,r1i1p1f1,gn,ssp585,2045,-19.020576264909838,3.732050073612345
CSIRO,ACCESS-ESM1-5,r1i1p1f1,gn,ssp585,2046,-18.019029995533824,4.7335963429883625
CSIRO,ACCESS-ESM1-5,r1i1p1f1,gn,ssp585,2047,-19.081633363812937,3.670992974709248
CSIRO,ACCESS-ESM1-5,r1i1p1f1,gn,ssp585,2048,-19.964842533865404,2.7877838046567818
CSIRO,ACCESS-ESM1-5,r1i1p1f1,gn,ssp585,2049,-18.196238632588884,4.5563877059333
CSIRO,ACCESS-ESM1-5,r1i1p1f1,gn,ssp585,2050,-24.47987419267318,-1.727247854150994
CSIRO,ACCESS-ESM1-5,r1i1p1f1,gn,ssp585,2051,-20.98262876328954,1.769997575232645
CSIRO,ACCESS-ESM1-5,r1i1p1f1,gn,ssp585,2052,-20.795676173253206,1.9569501652689791
CSIRO,ACCESS-ESM1-5,r1i1p1f1,gn,ssp585,2053,-20.553660303363383,2.198966035158801
CSIRO,ACCESS-ESM1-5,r1i1p1f1,gn,ssp585,2054,-20.24768392166841,2.504942416853774
CSIRO,ACCESS-ESM1-5,r1i1p1f1,gn,ssp585,2055,-15.62482024597161,7.127806092550574
CSIRO,ACCESS-ESM1-5,r1i1p1f1,gn,ssp585,2056,-17.046442072390953,5.706184266131231
CSIRO,ACCESS-ESM1-5,r1i1p1f1,gn,ssp585,2057,-19.043999821800796,3.70862651672139
CSIRO,ACCESS-ESM1-5,r1i1p1f1,gn,ssp585,2058,-18.04368231945209,4.7089440190700955
CSIRO,ACCESS-ESM1-5,r1i1p1f1,gn,ssp585,2059,-16.537694219007932,6.214932119514251
CSIRO,ACCESS-ESM1-5,r1i1p1f1,gn,ssp585,2060,-20.672742964508405,2.0798833740137783
CSIRO,ACCESS-ESM1-5,r1i1p1f1,gn,ssp585,2061,-18.160849742436362,4.591776596085823
CSIRO,ACCESS-ESM1-5,r1i1p1f1,gn,ssp585,2062,-16.137647221335182,6.6149791171870005
CSIRO,ACCESS-ESM1-5,r1i1p1f1,gn,ssp585,2063,-17.860616035133447,4.892010303388737
CSIRO,ACCESS-ESM1-5,r1i1p1f1,gn,ssp585,2064,-19.347366626152695,3.4052597123694874
CSIRO,ACCESS-ESM1-5,r1i1p1f1,gn,ssp585,2065,-19.594510316917518,3.158116021604666
CSIRO,ACCESS-ESM1-5,r1i1p1f1,gn,ssp585,2066,-14.587606671359614,8.165019667162573
CSIRO,ACCESS-ESM1-5,r1i1p1f1,gn,ssp585,2067,-16.859933588885962,5.892692749636222
CSIRO,ACCESS-ESM1-5,r1i1p1f1,gn,ssp585,2068,-22.69422320162302,0.05840313689915947
CSIRO,ACCESS-ESM1-5,r1i1p1f1,gn,ssp585,2069,-18.42853734613306,4.324088992389126
CSIRO,ACCESS-ESM1-5,r1i1p1f1,gn,ssp585,2070,-17.185388189443234,5.567238149078951
CSIRO,ACCESS-ESM1-5,r1i1p1f1,gn,ssp585,2071,-20.315422797661025,2.4372035408611588
CSIRO,ACCESS-ESM1-5,r1i1p1f1,gn,ssp585,2072,-18.359131830569467,4.393494507952717
CSIRO,ACCESS-ESM1-5,r1i1p1f1,gn,ssp585,2073,-16.641500420867157,6.111125917655026
CSIRO,ACCESS-ESM1-5,r1i1p1f1,gn,ssp585,2074,-16.416814792867488,6.3358115456546935
CSIRO,ACCESS-ESM1-5,r1i1p1f1,gn,ssp585,2075,-18.698047724255076,4.0545786142671085
CSIRO,ACCESS-ESM1-5,r1i1p1f1,gn,ssp585,2076,-19.161761490426333,3.59086484809585
CSIRO,ACCESS-ESM1-5,r1i1p1f1,gn,ssp585,2077,-17.935585596090988,4.817040742431195
CSIRO,ACCESS-ESM1-5,r1i1p1f1,gn,ssp585,2078,-16.163952039713,6.588674298809182
CSIRO,ACCESS-ESM1-5,r1i1p1f1,gn,ssp585,2079,-12.643800236370915,10.108826102151271
CSIRO,ACCESS-ESM1-5,r1i1p1f1,gn,ssp585,2080,-15.076639888164976,7.675986450357208
CSIRO,ACCESS-ESM1-5,r1i1p1f1,gn,ssp585,2081,-15.279190464522998,7.473435873999186
CSIRO,ACCESS-ESM1-5,r1i1p1f1,gn,ssp585,2082,-18.02992614332204,4.722700195200146
CSIRO,ACCESS-ESM1-5,r1i1p1f1,gn,ssp585,2083,-20.08633562094704,2.666290717575146
CSIRO,ACCESS-ESM1-5,r1i1p1f1,gn,ssp585,2084,-18.496578915335597,4.256047423186587
CSIRO,ACCESS-ESM1-5,r1i1p1f1,gn,ssp585,2085,-17.68110205661358,5.071524281908605
CSIRO,ACCESS-ESM1-5,r1i1p1f1,gn,ssp585,2086,-15.530784260385323,7.221842078136862
CSIRO,ACCESS-ESM1-5,r1i1p1f1,gn,ssp585,2087,-18.583072134651015,4.169554203871169
CSIRO,ACCESS-ESM1-5,r1i1p1f1,gn,ssp585,2088,-12.934752664442238,9.817873674079946
CSIRO,ACCESS-ESM1-5,r1i1p1f1,gn,ssp585,2089,-17.680937252233146,5.07168908628904
CSIRO,ACCESS-ESM1-5,r1i1p1f1,gn,ssp585,2090,-14.789022972056173,7.96360336646601
CSIRO,ACCESS-ESM1-5,r1i1p1f1,gn,ssp585,2091,-15.137590703219345,7.615035635302841
CSIRO,ACCESS-ESM1-5,r1i1p1f1,gn,ssp585,2092,-15.046659556458826,7.70596678206336
CSIRO,ACCESS-ESM1-5,r1i1p1f1,gn,ssp585,2093,-19.195522742987198,3.5571035955349877
CSIRO,ACCESS-ESM1-5,r1i1p1f1,gn,ssp585,2094,-17.34764680854576,5.40497952997642
CSIRO,ACCESS-ESM1-5,r1i1p1f1,gn,ssp585,2095,-14.56929114677491,8.183335191747275
CSIRO,ACCESS-ESM1-5,r1i1p1f1,gn,ssp585,2096,-16.49637173624065,6.256254602281532
CSIRO,ACCESS-ESM1-5,r1i1p1f1,gn,ssp585,2097,-11.340934698911534,11.411691639610652
CSIRO,ACCESS-ESM1-5,r1i1p1f1,gn,ssp585,2098,-13.154971505656965,9.597654832865217
CSIRO,ACCESS-ESM1-5,r1i1p1f1,gn,ssp585,2099,-12.748099919702765,10.004526418819422
CSIRO,ACCESS-ESM1-5,r1i1p1f1,gn,ssp585,2100,-17.165982950148702,5.586643388373481
CSIRO,ACCESS-ESM1-5,r1i1p1f1,gn,ssp585,2101,,
CSIRO,ACCESS-ESM1-5,r1i1p1f1,gn,ssp585,2102,,
CSIRO,ACCESS-ESM1-5,r1i1p1f1,gn,ssp585,2103,,
CSIRO,ACCESS-ESM1-5,r1i1p1f1,gn,ssp585,2104,,
CSIRO,ACCESS-ESM1-5,r1i1p1f1,gn,ssp585,2105,,
CSIRO,ACCESS-ESM1-5,r1i1p1f1,gn,ssp585,2106,,
CSIRO,ACCESS-ESM1-5,r1i1p1f1,gn,ssp585,2107,,
