institution,source,member,siconc_grid,experiment,time,year,month,sia_Mkm2,pi_clim_sia_Mkm2,sia_anom_Mkm2
CSIRO,ACCESS-ESM1-5,r1i1p1f1,gn,ssp585,2015-01,2015,1,10.683326499293187,11.87947512895977,-1.1961486296665829
CSIRO,ACCESS-ESM1-5,r1i1p1f1,gn,ssp585,2015-02,2015,2,11.399112385108703,12.246655750835188,-0.8475433657264855
CSIRO,ACCESS-ESM1-5,r1i1p1f1,gn,ssp585,2015-03,2015,3,11.750895263362752,12.333491056293159,-0.5825957929304071
CSIRO,ACCESS-ESM1-5,r1i1p1f1,gn,ssp585,2015-04,2015,4,11.64690431665125,12.067922641999136,-0.42101832534788564
CSIRO,ACCESS-ESM1-5,r1i1p1f1,gn,ssp585,2015-05,2015,5,10.447954207216789,11.09267475106667,-0.644720543849882
CSIRO,ACCESS-ESM1-5,r1i1p1f1,gn,ssp585,2015-06,2015,6,8.702485151984334,9.520217962337027,-0.8177328103526929
CSIRO,ACCESS-ESM1-5,r1i1p1f1,gn,ssp585,2015-07,2015,7,6.478570015736646,7.587746663754097,-1.109176648017451
CSIRO,ACCESS-ESM1-5,r1i1p1f1,gn,ssp585,2015-08,2015,8,4.512648796326536,5.8284429107649895,-1.3157941144384537
CSIRO,ACCESS-ESM1-5,r1i1p1f1,gn,ssp585,2015-09,2015,9,3.847070461871869,5.488982841034604,-1.6419123791627346
CSIRO,ACCESS-ESM1-5,r1i1p1f1,gn,ssp585,2015-10,2015,10,5.250529447160356,6.746989716291427,-1.496460269131071
CSIRO,ACCESS-ESM1-5,r1i1p1f1,gn,ssp585,2015-11,2015,11,7.142429903200787,8.745510311493765,-1.6030804082929784
CSIRO,ACCESS-ESM1-5,r1i1p1f1,gn,ssp585,2015-12,2015,12,10.140846903572625,10.800664970935497,-0.6598180673628722
CSIRO,ACCESS-ESM1-5,r1i1p1f1,gn,ssp585,2016-01,2016,1,11.397408759811578,11.87947512895977,-0.48206636914819256
CSIRO,ACCESS-ESM1-5,r1i1p1f1,gn,ssp585,2016-02,2016,2,11.81289354306284,12.246655750835188,-0.4337622077723484
CSIRO,ACCESS-ESM1-5,r1i1p1f1,gn,ssp585,2016-03,2016,3,11.887279110057932,12.333491056293159,-0.446211946235227
CSIRO,ACCESS-ESM1-5,r1i1p1f1,gn,ssp585,2016-04,2016,4,11.508206188355246,12.067922641999136,-0.5597164536438903
CSIRO,ACCESS-ESM1-5,r1i1p1f1,gn,ssp585,2016-05,2016,5,10.220142640262312,11.09267475106667,-0.8725321108043591
CSIRO,ACCESS-ESM1-5,r1i1p1f1,gn,ssp585,2016-06,2016,6,8.49101006334982,9.520217962337027,-1.029207898987206
CSIRO,ACCESS-ESM1-5,r1i1p1f1,gn,ssp585,2016-07,2016,7,6.0778277976948605,7.587746663754097,-1.5099188660592366
CSIRO,ACCESS-ESM1-5,r1i1p1f1,gn,ssp585,2016-08,2016,8,3.685553078776186,5.8284429107649895,-2.1428898319888035
CSIRO,ACCESS-ESM1-5,r1i1p1f1,gn,ssp585,2016-09,2016,9,3.1624351620428683,5.488982841034604,-2.3265476789917354
CSIRO,ACCESS-ESM1-5,r1i1p1f1,gn,ssp585,2016-10,2016,10,4.543475853321299,6.746989716291427,-2.2035138629701283
CSIRO,ACCESS-ESM1-5,r1i1p1f1,gn,ssp585,2016-11,2016,11,6.7526616612657735,8.745510311493765,-1.9928486502279918
CSIRO,ACCESS-ESM1-5,r1i1p1f1,gn,ssp585,2016-12,2016,12,9.520784869596143,10.800664970935497,-1.2798801013393533
CSIRO,ACCESS-ESM1-5,r1i1p1f1,gn,ssp585,2017-01,2017,1,11.137743789230644,11.87947512895977,-0.7417313397291263
CSIRO,ACCESS-ESM1-5,r1i1p1f1,gn,ssp585,2017-02,2017,2,11.616280699608495,12.246655750835188,-0.630375051226693
CSIRO,ACCESS-ESM1-5,r1i1p1f1,gn,ssp585,2017-03,2017,3,11.63012326932958,12.333491056293159,-0.7033677869635788
CSIRO,ACCESS-ESM1-5,r1i1p1f1,gn,ssp585,2017-04,2017,4,11.384774319013918,12.067922641999136,-0.6831483229852182
CSIRO,ACCESS-ESM1-5,r1i1p1f1,gn,ssp585,2017-05,2017,5,10.217366754336199,11.09267475106667,-0.8753079967304718
CSIRO,ACCESS-ESM1-5,r1i1p1f1,gn,ssp585,2017-06,2017,6,8.497501225994023,9.520217962337027,-1.0227167363430034
CSIRO,ACCESS-ESM1-5,r1i1p1f1,gn,ssp585,2017-07,2017,7,6.137111672383863,7.587746663754097,-1.4506349913702339
CSIRO,ACCESS-ESM1-5,r1i1p1f1,gn,ssp585,2017-08,2017,8,3.519860310926405,5.8284429107649895,-2.3085825998385845
CSIRO,ACCESS-ESM1-5,r1i1p1f1,gn,ssp585,2017-09,2017,9,2.6974031405064247,5.488982841034604,-2.791579700528179
