institution,source,member,siconc_grid,experiment,year,summer_min_time,summer_min_month,summer_min_sia_Mkm2,piControl_mean_summer_min_sia_Mkm2,piControl_std_summer_min_sia_Mkm2,summer_min_sia_anom_Mkm2
CSIRO,ACCESS-ESM1-5,r1i1p1f1,gn,ssp585,2015,2015-09,9,3.847070461871869,5.487149509562332,0.4276910287196948,-1.6400790476904632
CSIRO,ACCESS-ESM1-5,r1i1p1f1,gn,ssp585,2016,2016-09,9,3.1624351620428683,5.487149509562332,0.4276910287196948,-2.324714347519464
CSIRO,ACCESS-ESM1-5,r1i1p1f1,gn,ssp585,2017,2017-09,9,2.6974031405064247,5.487149509562332,0.4276910287196948,-2.7897463690559077
CSIRO,ACCESS-ESM1-5,r1i1p1f1,gn,ssp585,2018,2018-09,9,1.6462189587363485,5.487149509562332,0.4276910287196948,-3.840930550825984
CSIRO,ACCESS-ESM1-5,r1i1p1f1,gn,ssp585,2019,2019-09,9,3.7040937358748085,5.487149509562332,0.4276910287196948,-1.7830557736875239
CSIRO,ACCESS-ESM1-5,r1i1p1f1,gn,ssp585,2020,2020-09,9,3.7759811825928185,5.487149509562332,0.4276910287196948,-1.711168326969514
CSIRO,ACCESS-ESM1-5,r1i1p1f1,gn,ssp585,2021,2021-09,9,3.3399346439941024,5.487149509562332,0.4276910287196948,-2.14721486556823
CSIRO,ACCESS-ESM1-5,r1i1p1f1,gn,ssp585,2022,2022-09,9,3.5816531560712046,5.487149509562332,0.4276910287196948,-1.9054963534911278
CSIRO,ACCESS-ESM1-5,r1i1p1f1,gn,ssp585,2023,2023-09,9,2.8560117895646933,5.487149509562332,0.4276910287196948,-2.631137719997639
CSIRO,ACCESS-ESM1-5,r1i1p1f1,gn,ssp585,2024,2024-09,9,3.301019830948131,5.487149509562332,0.4276910287196948,-2.1861296786142015
CSIRO,ACCESS-ESM1-5,r1i1p1f1,gn,ssp585,2025,2025-09,9,3.458352706894147,5.487149509562332,0.4276910287196948,-2.0287968026681855
CSIRO,ACCESS-ESM1-5,r1i1p1f1,gn,ssp585,2026,2026-09,9,3.6664605450585714,5.487149509562332,0.4276910287196948,-1.820688964503761
CSIRO,ACCESS-ESM1-5,r1i1p1f1,gn,ssp585,2027,2027-09,9,3.700655703674112,5.487149509562332,0.4276910287196948,-1.7864938058882203
CSIRO,ACCESS-ESM1-5,r1i1p1f1,gn,ssp585,2028,2028-09,9,3.1837622503544822,5.487149509562332,0.4276910287196948,-2.30338725920785
CSIRO,ACCESS-ESM1-5,r1i1p1f1,gn,ssp585,2029,2029-09,9,3.0452320149634455,5.487149509562332,0.4276910287196948,-2.441917494598887
CSIRO,ACCESS-ESM1-5,r1i1p1f1,gn,ssp585,2030,2030-09,9,3.17786176177308,5.487149509562332,0.4276910287196948,-2.309287747789252
CSIRO,ACCESS-ESM1-5,r1i1p1f1,gn,ssp585,2031,2031-09,9,2.8119835055476092,5.487149509562332,0.4276910287196948,-2.675166004014723
CSIRO,ACCESS-ESM1-5,r1i1p1f1,gn,ssp585,2032,2032-09,9,3.2202176105103995,5.487149509562332,0.4276910287196948,-2.266931899051933
CSIRO,ACCESS-ESM1-5,r1i1p1f1,gn,ssp585,2033,2033-09,9,1.6438096782769123,5.487149509562332,0.4276910287196948,-3.8433398312854203
CSIRO,ACCESS-ESM1-5,r1i1p1f1,gn,ssp585,2034,2034-09,9,1.1441348027906133,5.487149509562332,0.4276910287196948,-4.343014706771719
CSIRO,ACCESS-ESM1-5,r1i1p1f1,gn,ssp585,2035,2035-09,9,1.3483661605811854,5.487149509562332,0.4276910287196948,-4.138783348981147
CSIRO,ACCESS-ESM1-5,r1i1p1f1,gn,ssp585,2036,2036-09,9,1.3691437868823682,5.487149509562332,0.4276910287196948,-4.118005722679964
CSIRO,ACCESS-ESM1-5,r1i1p1f1,gn,ssp585,2037,2037-09,9,0.9448844126021281,5.487149509562332,0.4276910287196948,-4.542265096960204
CSIRO,ACCESS-ESM1-5,r1i1p1f1,gn,ssp585,2038,2038-09,9,0.9850129636306152,5.487149509562332,0.4276910287196948,-4.502136545931717
