institution,source,member,grid,experiment,time,year,month,rsds_into_surface_Wm2,rlds_into_surface_Wm2,rsus_into_surface_Wm2,rlus_into_surface_Wm2,hfss_into_surface_Wm2,hfls_into_surface_Wm2,seb_Wm2,pi_clim_rsds_into_surface_Wm2,pi_clim_rlds_into_surface_Wm2,pi_clim_rsus_into_surface_Wm2,pi_clim_rlus_into_surface_Wm2,pi_clim_hfss_into_surface_Wm2,pi_clim_hfls_into_surface_Wm2,pi_clim_seb_Wm2,rsds_into_surface_Wm2_anom,rlds_into_surface_Wm2_anom,rsus_into_surface_Wm2_anom,rlus_into_surface_Wm2_anom,hfss_into_surface_Wm2_anom,hfls_into_surface_Wm2_anom,seb_anom_Wm2
CMCC,CMCC-CM2-SR5,r1i1p1f1,gn,ssp585,2015-01,2015,1,1.5511548482465587,237.88946866929413,-0.40354515692366605,-287.76730915337566,-31.03578572461868,-36.805207230041155,-116.57122374741846,1.9263797061584864,189.8933271486586,-0.814739602953434,-238.56764419530165,-23.999783452995402,-25.03259036861699,-96.5950507650504,-0.3752248579119277,47.99614152063552,0.4111944460297679,-49.19966495807401,-7.036002271623278,-11.772616861424165,-19.976172982368055
CMCC,CMCC-CM2-SR5,r1i1p1f1,gn,ssp585,2015-02,2015,2,10.530084269104917,216.04482976874755,-4.297947482795424,-266.3741391025716,-26.10147497201513,-29.929845552992134,-100.12849307252179,11.822187454403121,188.77394111599355,-5.855066093624129,-235.16546364802213,-20.773465236731194,-22.822572509270703,-84.0204389172515,-1.2921031852982043,27.270888652753996,1.557118610828705,-31.20867545454945,-5.328009735283935,-7.107273043721431,-16.108054155270295
CMCC,CMCC-CM2-SR5,r1i1p1f1,gn,ssp585,2015-03,2015,3,51.36931274417786,224.2057754313015,-24.469717895438034,-272.83987541683365,-17.849982759825604,-24.926545931001883,-64.5110338276198,56.30945939165422,194.0949486104456,-30.62820194774898,-241.727104802115,-16.04552439263193,-19.48281863011438,-57.47924177051049,-4.940146647476361,30.11082682085589,6.158484052310946,-31.11277061471864,-1.804458367193675,-5.4437273008875025,-7.031792057109307
CMCC,CMCC-CM2-SR5,r1i1p1f1,gn,ssp585,2015-04,2015,4,145.02929383869346,235.86632081062115,-70.11818413040058,-288.8296200638837,-12.138819919373002,-21.31149874751341,-11.502508211856092,154.7504048689592,211.93925054898415,-85.31829933560866,-266.13160432229023,-11.25731692022124,-16.41443070240334,-12.431995862580113,-9.721111030265746,23.927070261637,15.200115205208078,-22.69801574159345,-0.8815029991517616,-4.897068045110071,0.9294876507240204
CMCC,CMCC-CM2-SR5,r1i1p1f1,gn,ssp585,2015-05,2015,5,233.41340101731288,264.55648247831743,-98.06498166069014,-312.9890727031573,-5.613226335214766,-15.938504549299102,65.364098247269,237.5105369064137,254.93612700052228,-120.17813014109242,-302.63095050293185,-6.664754017588181,-16.322135898769403,46.650693346554135,-4.0971358891008265,9.620355477795158,22.113148480402288,-10.358122200225466,1.0515276823734148,0.383631349470301,18.713404900714863
CMCC,CMCC-CM2-SR5,r1i1p1f1,gn,ssp585,2015-06,2015,6,258.4622823201285,289.84685710570204,-58.20632451032865,-329.10225115809243,-2.7785294955291366,-10.443593492741938,147.77844076913843,255.17910142226265,283.5242430891909,-99.03781614735486,-319.9288040617001,-3.1316950440789912,-13.21565429703352,103.38937496128611,3.2831808978658614,6.322614016511125,40.83149163702621,-9.173447096392351,0.3531655485498546,2.7720608042915824,44.38906580785232
CMCC,CMCC-CM2-SR5,r1i1p1f1,gn,ssp585,2015-07,2015,7,203.88030265332984,314.658056229633,-16.558517392924156,-345.5214910421129,-3.225491435275603,-10.512772687641522,142.7200863250086,201.44891057189142,298.65247371201644,-44.18615871088846,-326.9646096492479,-2.6054651569755465,-10.999359554654717,115.34579121214124,2.4313920814384176,16.005582517616574,27.627641317964308,-18.556881392865023,-0.6200262783000565,0.48658686701319454,27.374295112867358
CMCC,CMCC-CM2-SR5,r1i1p1f1,gn,ssp585,2015-08,2015,8,128.44305200413055,318.05354531908716,-10.710920423640479,-349.27886027484624,-3.0458156830053693,-13.173920254931362,70.28708068679428,125.84773140792007,298.4967217151139,-17.357617526253286,-328.469392433471,-4.612889930665156,-14.652723559989683,59.251829672654864,2.5953205962104846,19.55682360397327,6.646697102612807,-20.809467841375238,1.5670742476597863,1.478803305058321,11.03525101413942
CMCC,CMCC-CM2-SR5,r1i1p1f1,gn,ssp585,2015-09,2015,9,57.73510610189951,303.28682067993583,-5.421616100922093,-342.27399788497524,-10.142400726562187,-29.55009624212423,-26.366184172748408,58.195358327033894,283.46758639910377,-7.844397970078441,-322.4514795179472,-9.909725211030754,-23.996777800233225,-22.539435773151986,-0.4602522251343828,19.819234280832063,2.4227818691563483,-19.822518367028067,-0.23267551553143306,-5.553318441891005,-3.826748399596422
CMCC,CMCC-CM2-SR5,r1i1p1f1,gn,ssp585,2015-10,2015,10,16.39777064412108,284.86715880323135,-1.9797277300747245,-331.71863302251717,-19.20416287470099,-43.86438577244468,-95.50197995238514,16.82453853378578,255.42208642721388,-2.682659099349846,-304.17138923539204,-19.37757596051636,-30.686224844173164,-84.67122417843171,-0.42676788966469914,29.445072376017464,0.7029313692751213,-27.547243787125126,0.17341308581536907,-13.178160928271513,-10.830755773953427
