institution,source,member,siconc_grid,experiment,time,year,month,sia_Mkm2,pi_clim_sia_Mkm2,sia_anom_Mkm2
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gn,ssp585,2015-01,2015,1,11.985692152746056,13.14772849079902,-1.162036338052964
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gn,ssp585,2015-02,2015,2,12.351078051228003,13.430628146380453,-1.0795500951524506
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gn,ssp585,2015-03,2015,3,12.76499701048976,13.558657284132442,-0.7936602736426828
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gn,ssp585,2015-04,2015,4,12.622081155601753,13.4145579666305,-0.792476811028747
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gn,ssp585,2015-05,2015,5,11.492320631293646,12.534864477989109,-1.0425438466954624
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gn,ssp585,2015-06,2015,6,9.233488376576087,10.646892197227762,-1.4134038206516752
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gn,ssp585,2015-07,2015,7,7.26583284028843,8.302371645186227,-1.0365388048977975
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gn,ssp585,2015-08,2015,8,5.6928454195896006,6.616497250710446,-0.9236518311208455
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gn,ssp585,2015-09,2015,9,5.036176861049536,6.128027986007415,-1.0918511249578788
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gn,ssp585,2015-10,2015,10,6.566380128877083,7.8018119249626015,-1.2354317960855186
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gn,ssp585,2015-11,2015,11,8.726808532135514,10.313374480749122,-1.5865659486136074
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gn,ssp585,2015-12,2015,12,10.685322470780958,12.308292384716971,-1.6229699139360125
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gn,ssp585,2016-01,2016,1,11.866010333658354,13.14772849079902,-1.2817181571406664
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gn,ssp585,2016-02,2016,2,12.341347076614761,13.430628146380453,-1.0892810697656916
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gn,ssp585,2016-03,2016,3,12.540067778096288,13.558657284132442,-1.0185895060361538
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gn,ssp585,2016-04,2016,4,12.474295255872324,13.4145579666305,-0.9402627107581765
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gn,ssp585,2016-05,2016,5,11.427046980070282,12.534864477989109,-1.1078174979188269
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gn,ssp585,2016-06,2016,6,9.494057246095158,10.646892197227762,-1.1528349511326041
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gn,ssp585,2016-07,2016,7,7.165325212715166,8.302371645186227,-1.1370464324710614
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gn,ssp585,2016-08,2016,8,5.0635387946352015,6.616497250710446,-1.5529584560752445
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gn,ssp585,2016-09,2016,9,4.131414334128233,6.128027986007415,-1.9966136518791817
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gn,ssp585,2016-10,2016,10,5.226304648403436,7.8018119249626015,-2.575507276559166
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gn,ssp585,2016-11,2016,11,8.358619134874806,10.313374480749122,-1.9547553458743163
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gn,ssp585,2016-12,2016,12,10.968605864636734,12.308292384716971,-1.339686520080237
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gn,ssp585,2017-01,2017,1,12.167250136878431,13.14772849079902,-0.9804783539205886
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gn,ssp585,2017-02,2017,2,12.341720271709955,13.430628146380453,-1.0889078746704985
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gn,ssp585,2017-03,2017,3,12.484446833913605,13.558657284132442,-1.0742104502188372
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gn,ssp585,2017-04,2017,4,12.21475259260074,13.4145579666305,-1.1998053740297596
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gn,ssp585,2017-05,2017,5,11.108810677836235,12.534864477989109,-1.4260538001528733
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gn,ssp585,2017-06,2017,6,8.910182717945242,10.646892197227762,-1.7367094792825206
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gn,ssp585,2017-07,2017,7,6.393844865837254,8.302371645186227,-1.908526779348973
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gn,ssp585,2017-08,2017,8,4.327005802705181,6.616497250710446,-2.289491448005265
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gn,ssp585,2017-09,2017,9,3.639256765189924,6.128027986007415,-2.488771220817491
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gn,ssp585,2017-10,2017,10,4.851549073391647,7.8018119249626015,-2.9502628515709546
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gn,ssp585,2017-11,2017,11,7.45464019463654,10.313374480749122,-2.8587342861125817
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gn,ssp585,2017-12,2017,12,10.550085666149661,12.308292384716971,-1.75820671856731
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gn,ssp585,2018-01,2018,1,12.310324477590184,13.14772849079902,-0.8374040132088361
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gn,ssp585,2018-02,2018,2,12.657516659934842,13.430628146380453,-0.773111486445611
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gn,ssp585,2018-03,2018,3,12.90311159115968,13.558657284132442,-0.6555456929727619
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gn,ssp585,2018-04,2018,4,12.71363529180439,13.4145579666305,-0.7009226748261099
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gn,ssp585,2018-05,2018,5,11.495581049818528,12.534864477989109,-1.039283428170581
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gn,ssp585,2018-06,2018,6,9.559532513372844,10.646892197227762,-1.0873596838549187
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gn,ssp585,2018-07,2018,7,6.9917990221355515,8.302371645186227,-1.3105726230506756
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gn,ssp585,2018-08,2018,8,4.601593023957958,6.616497250710446,-2.0149042267524884
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gn,ssp585,2018-09,2018,9,3.8099852727740573,6.128027986007415,-2.3180427132333574
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gn,ssp585,2018-10,2018,10,5.359703601166603,7.8018119249626015,-2.442108323795998
