institution,source,member,siconc_grid,experiment,time,year,month,sia_Mkm2,pi_clim_sia_Mkm2,sia_anom_Mkm2
CCCma,CanESM5,r1i1p1f1,gn,ssp585,2015-01,2015,1,11.466896946490996,12.998664339239722,-1.5317673927487263
CCCma,CanESM5,r1i1p1f1,gn,ssp585,2015-02,2015,2,12.055029579782316,13.28273805324273,-1.2277084734604138
CCCma,CanESM5,r1i1p1f1,gn,ssp585,2015-03,2015,3,11.92234475463974,13.34028351202081,-1.4179387573810693
CCCma,CanESM5,r1i1p1f1,gn,ssp585,2015-04,2015,4,11.381369941390739,13.054712465121481,-1.6733425237307422
CCCma,CanESM5,r1i1p1f1,gn,ssp585,2015-05,2015,5,10.419935783966118,12.0660892844115,-1.646153500445383
CCCma,CanESM5,r1i1p1f1,gn,ssp585,2015-06,2015,6,8.560647509760875,10.346279160165967,-1.785631650405092
CCCma,CanESM5,r1i1p1f1,gn,ssp585,2015-07,2015,7,5.97703344459276,8.28708324832292,-2.31004980373016
CCCma,CanESM5,r1i1p1f1,gn,ssp585,2015-08,2015,8,4.304930551592884,6.680086163583538,-2.375155611990654
CCCma,CanESM5,r1i1p1f1,gn,ssp585,2015-09,2015,9,4.347983552474625,6.92622820306905,-2.5782446505944243
CCCma,CanESM5,r1i1p1f1,gn,ssp585,2015-10,2015,10,5.899687418649197,8.732663935062806,-2.832976516413609
CCCma,CanESM5,r1i1p1f1,gn,ssp585,2015-11,2015,11,8.169016720180892,10.7791244925697,-2.610107772388808
CCCma,CanESM5,r1i1p1f1,gn,ssp585,2015-12,2015,12,10.19584732997408,12.261337594559263,-2.0654902645851827
CCCma,CanESM5,r1i1p1f1,gn,ssp585,2016-01,2016,1,11.399929956797083,12.998664339239722,-1.5987343824426397
CCCma,CanESM5,r1i1p1f1,gn,ssp585,2016-02,2016,2,11.560245859656247,13.28273805324273,-1.7224921935864828
CCCma,CanESM5,r1i1p1f1,gn,ssp585,2016-03,2016,3,11.645007795383327,13.34028351202081,-1.6952757166374823
CCCma,CanESM5,r1i1p1f1,gn,ssp585,2016-04,2016,4,11.373068405711056,13.054712465121481,-1.6816440594104254
CCCma,CanESM5,r1i1p1f1,gn,ssp585,2016-05,2016,5,10.235877000709777,12.0660892844115,-1.830212283701723
CCCma,CanESM5,r1i1p1f1,gn,ssp585,2016-06,2016,6,8.299927491591657,10.346279160165967,-2.04635166857431
CCCma,CanESM5,r1i1p1f1,gn,ssp585,2016-07,2016,7,5.477991174200603,8.28708324832292,-2.8090920741223178
CCCma,CanESM5,r1i1p1f1,gn,ssp585,2016-08,2016,8,3.359316850747067,6.680086163583538,-3.320769312836471
CCCma,CanESM5,r1i1p1f1,gn,ssp585,2016-09,2016,9,3.3323746469435673,6.92622820306905,-3.5938535561254823
CCCma,CanESM5,r1i1p1f1,gn,ssp585,2016-10,2016,10,5.018235506936579,8.732663935062806,-3.7144284281262276
CCCma,CanESM5,r1i1p1f1,gn,ssp585,2016-11,2016,11,7.7716766509296935,10.7791244925697,-3.0074478416400066
CCCma,CanESM5,r1i1p1f1,gn,ssp585,2016-12,2016,12,9.920096960207628,12.261337594559263,-2.341240634351635
CCCma,CanESM5,r1i1p1f1,gn,ssp585,2017-01,2017,1,10.825440531653644,12.998664339239722,-2.173223807586078
CCCma,CanESM5,r1i1p1f1,gn,ssp585,2017-02,2017,2,11.373444584927972,13.28273805324273,-1.9092934683147575
CCCma,CanESM5,r1i1p1f1,gn,ssp585,2017-03,2017,3,11.671189096767247,13.34028351202081,-1.6690944152535625
CCCma,CanESM5,r1i1p1f1,gn,ssp585,2017-04,2017,4,11.298459784640402,13.054712465121481,-1.7562526804810794
CCCma,CanESM5,r1i1p1f1,gn,ssp585,2017-05,2017,5,9.909764506407578,12.0660892844115,-2.1563247780039223
CCCma,CanESM5,r1i1p1f1,gn,ssp585,2017-06,2017,6,7.968317670640996,10.346279160165967,-2.3779614895249708
CCCma,CanESM5,r1i1p1f1,gn,ssp585,2017-07,2017,7,5.607794376701885,8.28708324832292,-2.6792888716210355
CCCma,CanESM5,r1i1p1f1,gn,ssp585,2017-08,2017,8,3.6107508244855437,6.680086163583538,-3.0693353390979943
CCCma,CanESM5,r1i1p1f1,gn,ssp585,2017-09,2017,9,3.5851512769421086,6.92622820306905,-3.341076926126941
CCCma,CanESM5,r1i1p1f1,gn,ssp585,2017-10,2017,10,5.311955996162489,8.732663935062806,-3.4207079389003177
CCCma,CanESM5,r1i1p1f1,gn,ssp585,2017-11,2017,11,7.976912603409013,10.7791244925697,-2.802211889160687
CCCma,CanESM5,r1i1p1f1,gn,ssp585,2017-12,2017,12,9.444531824886708,12.261337594559263,-2.8168057696725555
CCCma,CanESM5,r1i1p1f1,gn,ssp585,2018-01,2018,1,10.751864864736165,12.998664339239722,-2.2467994745035575
CCCma,CanESM5,r1i1p1f1,gn,ssp585,2018-02,2018,2,11.386747237207704,13.28273805324273,-1.8959908160350256
CCCma,CanESM5,r1i1p1f1,gn,ssp585,2018-03,2018,3,11.523321107055564,13.34028351202081,-1.8169624049652455
CCCma,CanESM5,r1i1p1f1,gn,ssp585,2018-04,2018,4,11.201419451313614,13.054712465121481,-1.8532930138078676
CCCma,CanESM5,r1i1p1f1,gn,ssp585,2018-05,2018,5,10.070356005207243,12.0660892844115,-1.9957332792042575
CCCma,CanESM5,r1i1p1f1,gn,ssp585,2018-06,2018,6,7.987274184998875,10.346279160165967,-2.3590049751670916
CCCma,CanESM5,r1i1p1f1,gn,ssp585,2018-07,2018,7,5.119626932867434,8.28708324832292,-3.1674563154554862
CCCma,CanESM5,r1i1p1f1,gn,ssp585,2018-08,2018,8,2.9987684776540244,6.680086163583538,-3.6813176859295136
CCCma,CanESM5,r1i1p1f1,gn,ssp585,2018-09,2018,9,2.882611857781229,6.92622820306905,-4.043616345287821
CCCma,CanESM5,r1i1p1f1,gn,ssp585,2018-10,2018,10,4.584327055466024,8.732663935062806,-4.1483368795967825
CCCma,CanESM5,r1i1p1f1,gn,ssp585,2018-11,2018,11,7.462190379432918,10.7791244925697,-3.3169341131367824
CCCma,CanESM5,r1i1p1f1,gn,ssp585,2018-12,2018,12,9.71114239495579,12.261337594559263,-2.5501951996034737
CCCma,CanESM5,r1i1p1f1,gn,ssp585,2019-01,2019,1,10.891876636418402,12.998664339239722,-2.10678770282132
CCCma,CanESM5,r1i1p1f1,gn,ssp585,2019-02,2019,2,11.52320684190865,13.28273805324273,-1.75953121133408
CCCma,CanESM5,r1i1p1f1,gn,ssp585,2019-03,2019,3,11.762045521616585,13.34028351202081,-1.578237990404224
CCCma,CanESM5,r1i1p1f1,gn,ssp585,2019-04,2019,4,11.309441583075165,13.054712465121481,-1.7452708820463165
CCCma,CanESM5,r1i1p1f1,gn,ssp585,2019-05,2019,5,10.086607208209209,12.0660892844115,-1.9794820762022916
CCCma,CanESM5,r1i1p1f1,gn,ssp585,2019-06,2019,6,7.954491670789535,10.346279160165967,-2.3917874893764317
CCCma,CanESM5,r1i1p1f1,gn,ssp585,2019-07,2019,7,5.375771432427666,8.28708324832292,-2.911311815895254
CCCma,CanESM5,r1i1p1f1,gn,ssp585,2019-08,2019,8,3.564030529747626,6.680086163583538,-3.116055633835912
CCCma,CanESM5,r1i1p1f1,gn,ssp585,2019-09,2019,9,3.506876846755461,6.92622820306905,-3.4193513563135887
CCCma,CanESM5,r1i1p1f1,gn,ssp585,2019-10,2019,10,5.245016779578943,8.732663935062806,-3.487647155483863
CCCma,CanESM5,r1i1p1f1,gn,ssp585,2019-11,2019,11,7.636712462092774,10.7791244925697,-3.142412030476926
CCCma,CanESM5,r1i1p1f1,gn,ssp585,2019-12,2019,12,9.900707812300693,12.261337594559263,-2.3606297822585702
CCCma,CanESM5,r1i1p1f1,gn,ssp585,2020-01,2020,1,11.06663434556421,12.998664339239722,-1.9320299936755116
CCCma,CanESM5,r1i1p1f1,gn,ssp585,2020-02,2020,2,11.674646582621309,13.28273805324273,-1.6080914706214209
CCCma,CanESM5,r1i1p1f1,gn,ssp585,2020-03,2020,3,11.476096335195793,13.34028351202081,-1.8641871768250162
CCCma,CanESM5,r1i1p1f1,gn,ssp585,2020-04,2020,4,11.040398571150345,13.054712465121481,-2.0143138939711367
CCCma,CanESM5,r1i1p1f1,gn,ssp585,2020-05,2020,5,9.747432722964172,12.0660892844115,-2.3186565614473285
CCCma,CanESM5,r1i1p1f1,gn,ssp585,2020-06,2020,6,8.071928450406796,10.346279160165967,-2.2743507097591706
CCCma,CanESM5,r1i1p1f1,gn,ssp585,2020-07,2020,7,5.434800562241792,8.28708324832292,-2.8522826860811286
CCCma,CanESM5,r1i1p1f1,gn,ssp585,2020-08,2020,8,3.2442810633664716,6.680086163583538,-3.4358051002170664
CCCma,CanESM5,r1i1p1f1,gn,ssp585,2020-09,2020,9,3.094820952504133,6.92622820306905,-3.831407250564917
CCCma,CanESM5,r1i1p1f1,gn,ssp585,2020-10,2020,10,4.971502862766504,8.732663935062806,-3.7611610722963027
CCCma,CanESM5,r1i1p1f1,gn,ssp585,2020-11,2020,11,7.705518029901045,10.7791244925697,-3.0736064626686552
CCCma,CanESM5,r1i1p1f1,gn,ssp585,2020-12,2020,12,9.400191347585821,12.261337594559263,-2.8611462469734423
CCCma,CanESM5,r1i1p1f1,gn,ssp585,2021-01,2021,1,10.677782877028285,12.998664339239722,-2.320881462211437
CCCma,CanESM5,r1i1p1f1,gn,ssp585,2021-02,2021,2,11.28899024445383,13.28273805324273,-1.9937478087888998
CCCma,CanESM5,r1i1p1f1,gn,ssp585,2021-03,2021,3,11.479559955891528,13.34028351202081,-1.8607235561292814
CCCma,CanESM5,r1i1p1f1,gn,ssp585,2021-04,2021,4,10.957115514026192,13.054712465121481,-2.097596951095289
CCCma,CanESM5,r1i1p1f1,gn,ssp585,2021-05,2021,5,9.95408788359414,12.0660892844115,-2.112001400817361
CCCma,CanESM5,r1i1p1f1,gn,ssp585,2021-06,2021,6,8.079724161271786,10.346279160165967,-2.266554998894181
CCCma,CanESM5,r1i1p1f1,gn,ssp585,2021-07,2021,7,5.413223635093255,8.28708324832292,-2.8738596132296657
CCCma,CanESM5,r1i1p1f1,gn,ssp585,2021-08,2021,8,3.294663850881853,6.680086163583538,-3.385422312701685
CCCma,CanESM5,r1i1p1f1,gn,ssp585,2021-09,2021,9,3.1850188717856454,6.92622820306905,-3.7412093312834043
CCCma,CanESM5,r1i1p1f1,gn,ssp585,2021-10,2021,10,4.855159216437402,8.732663935062806,-3.8775047186254046
CCCma,CanESM5,r1i1p1f1,gn,ssp585,2021-11,2021,11,7.456238618517182,10.7791244925697,-3.322885874052518
CCCma,CanESM5,r1i1p1f1,gn,ssp585,2021-12,2021,12,9.659151662033821,12.261337594559263,-2.602185932525442
CCCma,CanESM5,r1i1p1f1,gn,ssp585,2022-01,2022,1,10.851789708863205,12.998664339239722,-2.1468746303765176
CCCma,CanESM5,r1i1p1f1,gn,ssp585,2022-02,2022,2,10.961151372727386,13.28273805324273,-2.3215866805153436
CCCma,CanESM5,r1i1p1f1,gn,ssp585,2022-03,2022,3,11.268878924302605,13.34028351202081,-2.071404587718204
CCCma,CanESM5,r1i1p1f1,gn,ssp585,2022-04,2022,4,10.95121173963939,13.054712465121481,-2.1035007254820908
CCCma,CanESM5,r1i1p1f1,gn,ssp585,2022-05,2022,5,9.835226269819136,12.0660892844115,-2.230863014592364
CCCma,CanESM5,r1i1p1f1,gn,ssp585,2022-06,2022,6,7.758779039670629,10.346279160165967,-2.5875001204953376
CCCma,CanESM5,r1i1p1f1,gn,ssp585,2022-07,2022,7,5.103062761242796,8.28708324832292,-3.184020487080124
CCCma,CanESM5,r1i1p1f1,gn,ssp585,2022-08,2022,8,3.316656389582164,6.680086163583538,-3.363429774001374
CCCma,CanESM5,r1i1p1f1,gn,ssp585,2022-09,2022,9,3.0926194628882753,6.92622820306905,-3.8336087401807744
CCCma,CanESM5,r1i1p1f1,gn,ssp585,2022-10,2022,10,4.800260223109978,8.732663935062806,-3.932403711952828
CCCma,CanESM5,r1i1p1f1,gn,ssp585,2022-11,2022,11,7.161506516942195,10.7791244925697,-3.617617975627505
CCCma,CanESM5,r1i1p1f1,gn,ssp585,2022-12,2022,12,9.441527482831066,12.261337594559263,-2.819810111728197
CCCma,CanESM5,r1i1p1f1,gn,ssp585,2023-01,2023,1,10.380778695632005,12.998664339239722,-2.6178856436077176
CCCma,CanESM5,r1i1p1f1,gn,ssp585,2023-02,2023,2,11.021775619813493,13.28273805324273,-2.2609624334292366
CCCma,CanESM5,r1i1p1f1,gn,ssp585,2023-03,2023,3,11.393180542233308,13.34028351202081,-1.947102969787501
CCCma,CanESM5,r1i1p1f1,gn,ssp585,2023-04,2023,4,11.06657414249457,13.054712465121481,-1.9881383226269111
CCCma,CanESM5,r1i1p1f1,gn,ssp585,2023-05,2023,5,9.674432288196355,12.0660892844115,-2.3916569962151453
CCCma,CanESM5,r1i1p1f1,gn,ssp585,2023-06,2023,6,7.685426682504931,10.346279160165967,-2.6608524776610354
CCCma,CanESM5,r1i1p1f1,gn,ssp585,2023-07,2023,7,5.320680146779418,8.28708324832292,-2.966403101543502
CCCma,CanESM5,r1i1p1f1,gn,ssp585,2023-08,2023,8,3.507216433020324,6.680086163583538,-3.172869730563214
CCCma,CanESM5,r1i1p1f1,gn,ssp585,2023-09,2023,9,3.2754124278168844,6.92622820306905,-3.6508157752521653
CCCma,CanESM5,r1i1p1f1,gn,ssp585,2023-10,2023,10,4.97963149291167,8.732663935062806,-3.7530324421511363
CCCma,CanESM5,r1i1p1f1,gn,ssp585,2023-11,2023,11,7.1401671098904265,10.7791244925697,-3.6389573826792736
CCCma,CanESM5,r1i1p1f1,gn,ssp585,2023-12,2023,12,9.453486624728983,12.261337594559263,-2.8078509698302803
CCCma,CanESM5,r1i1p1f1,gn,ssp585,2024-01,2024,1,10.75883336635348,12.998664339239722,-2.239830972886242
CCCma,CanESM5,r1i1p1f1,gn,ssp585,2024-02,2024,2,11.221538886668329,13.28273805324273,-2.0611991665744007
CCCma,CanESM5,r1i1p1f1,gn,ssp585,2024-03,2024,3,11.344479173476648,13.34028351202081,-1.9958043385441613
CCCma,CanESM5,r1i1p1f1,gn,ssp585,2024-04,2024,4,11.082634734565781,13.054712465121481,-1.9720777305557
CCCma,CanESM5,r1i1p1f1,gn,ssp585,2024-05,2024,5,9.99959307611179,12.0660892844115,-2.0664962082997107
CCCma,CanESM5,r1i1p1f1,gn,ssp585,2024-06,2024,6,7.880761093928359,10.346279160165967,-2.4655180662376077
CCCma,CanESM5,r1i1p1f1,gn,ssp585,2024-07,2024,7,5.037432699945714,8.28708324832292,-3.2496505483772067
CCCma,CanESM5,r1i1p1f1,gn,ssp585,2024-08,2024,8,2.9282982648822347,6.680086163583538,-3.7517878987013034
CCCma,CanESM5,r1i1p1f1,gn,ssp585,2024-09,2024,9,2.83044974303704,6.92622820306905,-4.09577846003201
CCCma,CanESM5,r1i1p1f1,gn,ssp585,2024-10,2024,10,4.740459265646372,8.732663935062806,-3.9922046694164344
CCCma,CanESM5,r1i1p1f1,gn,ssp585,2024-11,2024,11,7.737636426135859,10.7791244925697,-3.041488066433841
CCCma,CanESM5,r1i1p1f1,gn,ssp585,2024-12,2024,12,9.510368453487995,12.261337594559263,-2.750969141071268
CCCma,CanESM5,r1i1p1f1,gn,ssp585,2025-01,2025,1,10.663523545938629,12.998664339239722,-2.3351407933010933
CCCma,CanESM5,r1i1p1f1,gn,ssp585,2025-02,2025,2,11.4047327194336,13.28273805324273,-1.8780053338091296
CCCma,CanESM5,r1i1p1f1,gn,ssp585,2025-03,2025,3,11.591391593526891,13.34028351202081,-1.7488919184939178
CCCma,CanESM5,r1i1p1f1,gn,ssp585,2025-04,2025,4,11.200308497692559,13.054712465121481,-1.8544039674289223
CCCma,CanESM5,r1i1p1f1,gn,ssp585,2025-05,2025,5,9.960792236956605,12.0660892844115,-2.1052970474548953
CCCma,CanESM5,r1i1p1f1,gn,ssp585,2025-06,2025,6,7.946876641639287,10.346279160165967,-2.3994025185266796
CCCma,CanESM5,r1i1p1f1,gn,ssp585,2025-07,2025,7,5.4247574769063265,8.28708324832292,-2.862325771416594
CCCma,CanESM5,r1i1p1f1,gn,ssp585,2025-08,2025,8,3.542120692614295,6.680086163583538,-3.137965470969243
CCCma,CanESM5,r1i1p1f1,gn,ssp585,2025-09,2025,9,3.324446189228361,6.92622820306905,-3.6017820138406886
CCCma,CanESM5,r1i1p1f1,gn,ssp585,2025-10,2025,10,5.316034803351736,8.732663935062806,-3.41662913171107
CCCma,CanESM5,r1i1p1f1,gn,ssp585,2025-11,2025,11,7.706899163964968,10.7791244925697,-3.0722253286047323
CCCma,CanESM5,r1i1p1f1,gn,ssp585,2025-12,2025,12,9.14779413459121,12.261337594559263,-3.113543459968053
CCCma,CanESM5,r1i1p1f1,gn,ssp585,2026-01,2026,1,10.224302313235416,12.998664339239722,-2.7743620260043063
CCCma,CanESM5,r1i1p1f1,gn,ssp585,2026-02,2026,2,10.741212798126883,13.28273805324273,-2.5415252551158467
CCCma,CanESM5,r1i1p1f1,gn,ssp585,2026-03,2026,3,11.088075953486282,13.34028351202081,-2.2522075585345274
CCCma,CanESM5,r1i1p1f1,gn,ssp585,2026-04,2026,4,10.860780637664993,13.054712465121481,-2.1939318274564883
CCCma,CanESM5,r1i1p1f1,gn,ssp585,2026-05,2026,5,9.408498682168018,12.0660892844115,-2.6575906022434825
CCCma,CanESM5,r1i1p1f1,gn,ssp585,2026-06,2026,6,7.293496871521083,10.346279160165967,-3.0527822886448837
CCCma,CanESM5,r1i1p1f1,gn,ssp585,2026-07,2026,7,4.6060983330474405,8.28708324832292,-3.68098491527548
CCCma,CanESM5,r1i1p1f1,gn,ssp585,2026-08,2026,8,2.6777696839629597,6.680086163583538,-4.002316479620578
CCCma,CanESM5,r1i1p1f1,gn,ssp585,2026-09,2026,9,2.527523601732949,6.92622820306905,-4.3987046013361
CCCma,CanESM5,r1i1p1f1,gn,ssp585,2026-10,2026,10,4.10113048459703,8.732663935062806,-4.631533450465777
CCCma,CanESM5,r1i1p1f1,gn,ssp585,2026-11,2026,11,6.6165300093883985,10.7791244925697,-4.1625944831813015
CCCma,CanESM5,r1i1p1f1,gn,ssp585,2026-12,2026,12,8.67823841245415,12.261337594559263,-3.583099182105114
CCCma,CanESM5,r1i1p1f1,gn,ssp585,2027-01,2027,1,9.974557539113999,12.998664339239722,-3.0241068001257236
CCCma,CanESM5,r1i1p1f1,gn,ssp585,2027-02,2027,2,10.82614584913598,13.28273805324273,-2.45659220410675
CCCma,CanESM5,r1i1p1f1,gn,ssp585,2027-03,2027,3,11.253361389080617,13.34028351202081,-2.0869221229401926
CCCma,CanESM5,r1i1p1f1,gn,ssp585,2027-04,2027,4,10.600953297310035,13.054712465121481,-2.4537591678114463
CCCma,CanESM5,r1i1p1f1,gn,ssp585,2027-05,2027,5,9.245431512554308,12.0660892844115,-2.820657771857192
CCCma,CanESM5,r1i1p1f1,gn,ssp585,2027-06,2027,6,7.2251824971268395,10.346279160165967,-3.1210966630391273
CCCma,CanESM5,r1i1p1f1,gn,ssp585,2027-07,2027,7,4.493920874065325,8.28708324832292,-3.7931623742575953
CCCma,CanESM5,r1i1p1f1,gn,ssp585,2027-08,2027,8,2.480727184532537,6.680086163583538,-4.199358979051
CCCma,CanESM5,r1i1p1f1,gn,ssp585,2027-09,2027,9,1.9052465612601104,6.92622820306905,-5.020981641808939
CCCma,CanESM5,r1i1p1f1,gn,ssp585,2027-10,2027,10,4.056248632067715,8.732663935062806,-4.676415302995092
CCCma,CanESM5,r1i1p1f1,gn,ssp585,2027-11,2027,11,6.632430665906473,10.7791244925697,-4.146693826663227
CCCma,CanESM5,r1i1p1f1,gn,ssp585,2027-12,2027,12,8.851966229872188,12.261337594559263,-3.4093713646870754
CCCma,CanESM5,r1i1p1f1,gn,ssp585,2028-01,2028,1,10.030316284694894,12.998664339239722,-2.968348054544828
CCCma,CanESM5,r1i1p1f1,gn,ssp585,2028-02,2028,2,10.704147615839956,13.28273805324273,-2.5785904374027737
CCCma,CanESM5,r1i1p1f1,gn,ssp585,2028-03,2028,3,10.902289841201316,13.34028351202081,-2.437993670819493
CCCma,CanESM5,r1i1p1f1,gn,ssp585,2028-04,2028,4,10.616934603791082,13.054712465121481,-2.4377778613303995
CCCma,CanESM5,r1i1p1f1,gn,ssp585,2028-05,2028,5,9.364328109786085,12.0660892844115,-2.7017611746254158
CCCma,CanESM5,r1i1p1f1,gn,ssp585,2028-06,2028,6,6.984108916413842,10.346279160165967,-3.362170243752125
CCCma,CanESM5,r1i1p1f1,gn,ssp585,2028-07,2028,7,3.9561679823267424,8.28708324832292,-4.330915265996178
CCCma,CanESM5,r1i1p1f1,gn,ssp585,2028-08,2028,8,1.9470245795754773,6.680086163583538,-4.733061584008061
CCCma,CanESM5,r1i1p1f1,gn,ssp585,2028-09,2028,9,1.630395503070785,6.92622820306905,-5.295832699998265
CCCma,CanESM5,r1i1p1f1,gn,ssp585,2028-10,2028,10,3.3024971334394637,8.732663935062806,-5.430166801623343
CCCma,CanESM5,r1i1p1f1,gn,ssp585,2028-11,2028,11,6.091814869913269,10.7791244925697,-4.687309622656431
CCCma,CanESM5,r1i1p1f1,gn,ssp585,2028-12,2028,12,8.459099844700624,12.261337594559263,-3.802237749858639
CCCma,CanESM5,r1i1p1f1,gn,ssp585,2029-01,2029,1,10.120345543660475,12.998664339239722,-2.878318795579247
CCCma,CanESM5,r1i1p1f1,gn,ssp585,2029-02,2029,2,10.620772627155647,13.28273805324273,-2.6619654260870824
CCCma,CanESM5,r1i1p1f1,gn,ssp585,2029-03,2029,3,10.83577238638617,13.34028351202081,-2.5045111256346395
CCCma,CanESM5,r1i1p1f1,gn,ssp585,2029-04,2029,4,10.456709573923266,13.054712465121481,-2.598002891198215
CCCma,CanESM5,r1i1p1f1,gn,ssp585,2029-05,2029,5,9.013519724620492,12.0660892844115,-3.0525695597910083
CCCma,CanESM5,r1i1p1f1,gn,ssp585,2029-06,2029,6,6.683920630578567,10.346279160165967,-3.6623585295874
CCCma,CanESM5,r1i1p1f1,gn,ssp585,2029-07,2029,7,3.8946054341043173,8.28708324832292,-4.392477814218603
CCCma,CanESM5,r1i1p1f1,gn,ssp585,2029-08,2029,8,1.9788448271406858,6.680086163583538,-4.701241336442852
CCCma,CanESM5,r1i1p1f1,gn,ssp585,2029-09,2029,9,1.8588933816223423,6.92622820306905,-5.067334821446707
