institution,source,member,grid,experiment,year,seb_Wm2,seb_anom_Wm2
E3SM-Project,E3SM-1-1,r1i1p1f1,gr,ssp585,2015,-17.80397890987051,1.0871364812545725
E3SM-Project,E3SM-1-1,r1i1p1f1,gr,ssp585,2016,-20.98042611322138,-2.0893107220962963
E3SM-Project,E3SM-1-1,r1i1p1f1,gr,ssp585,2017,-15.297313008133054,3.5938023829920294
E3SM-Project,E3SM-1-1,r1i1p1f1,gr,ssp585,2018,-18.678673239989834,0.21244215113524767
E3SM-Project,E3SM-1-1,r1i1p1f1,gr,ssp585,2019,-22.568617012291316,-3.677501621166234
E3SM-Project,E3SM-1-1,r1i1p1f1,gr,ssp585,2020,-18.513252796063302,0.37786259506177905
E3SM-Project,E3SM-1-1,r1i1p1f1,gr,ssp585,2021,-20.49173682823358,-1.6006214371084946
E3SM-Project,E3SM-1-1,r1i1p1f1,gr,ssp585,2022,-16.224050289002438,2.667065102122646
E3SM-Project,E3SM-1-1,r1i1p1f1,gr,ssp585,2023,-20.714016436407885,-1.8229010452827996
E3SM-Project,E3SM-1-1,r1i1p1f1,gr,ssp585,2024,-18.609901970157285,0.28121342096779883
E3SM-Project,E3SM-1-1,r1i1p1f1,gr,ssp585,2025,-17.289324804989846,1.6017905861352373
E3SM-Project,E3SM-1-1,r1i1p1f1,gr,ssp585,2026,-18.760518814924172,0.13059657620091247
E3SM-Project,E3SM-1-1,r1i1p1f1,gr,ssp585,2027,-19.254504916945482,-0.36338952582039824
E3SM-Project,E3SM-1-1,r1i1p1f1,gr,ssp585,2028,-18.628299953908854,0.2628154372162266
E3SM-Project,E3SM-1-1,r1i1p1f1,gr,ssp585,2029,-15.3572760076463,3.533839383478782
E3SM-Project,E3SM-1-1,r1i1p1f1,gr,ssp585,2030,-13.447182254039788,5.443933137085295
E3SM-Project,E3SM-1-1,r1i1p1f1,gr,ssp585,2031,-16.79782212667006,2.0932932644550246
E3SM-Project,E3SM-1-1,r1i1p1f1,gr,ssp585,2032,-22.40369117739628,-3.512575786271192
E3SM-Project,E3SM-1-1,r1i1p1f1,gr,ssp585,2033,-16.30148333581804,2.589632055307042
E3SM-Project,E3SM-1-1,r1i1p1f1,gr,ssp585,2034,-19.21258828882518,-0.3214728977000985
E3SM-Project,E3SM-1-1,r1i1p1f1,gr,ssp585,2035,-18.99815391344407,-0.10703852231898736
E3SM-Project,E3SM-1-1,r1i1p1f1,gr,ssp585,2036,-15.89869277071152,2.992422620413562
E3SM-Project,E3SM-1-1,r1i1p1f1,gr,ssp585,2037,-18.738911464341996,0.15220392678308534
E3SM-Project,E3SM-1-1,r1i1p1f1,gr,ssp585,2038,-16.134741766194566,2.7563736249305157
E3SM-Project,E3SM-1-1,r1i1p1f1,gr,ssp585,2039,-20.831326060929122,-1.9402106698040382
E3SM-Project,E3SM-1-1,r1i1p1f1,gr,ssp585,2040,-15.375972297194489,3.515143093930593
E3SM-Project,E3SM-1-1,r1i1p1f1,gr,ssp585,2041,-15.809765442382641,3.0813499487424405
E3SM-Project,E3SM-1-1,r1i1p1f1,gr,ssp585,2042,-19.3883545795233,-0.49723918839821657
E3SM-Project,E3SM-1-1,r1i1p1f1,gr,ssp585,2043,-18.63293839899085,0.258176992134232
E3SM-Project,E3SM-1-1,r1i1p1f1,gr,ssp585,2044,-14.116563752373104,4.77455163875198
E3SM-Project,E3SM-1-1,r1i1p1f1,gr,ssp585,2045,-14.059840502878574,4.831274888246509
E3SM-Project,E3SM-1-1,r1i1p1f1,gr,ssp585,2046,-16.880851138431694,2.010264252693388
E3SM-Project,E3SM-1-1,r1i1p1f1,gr,ssp585,2047,-13.113297060085957,5.777818331039126
E3SM-Project,E3SM-1-1,r1i1p1f1,gr,ssp585,2048,-20.894955062955205,-2.00383967183012
E3SM-Project,E3SM-1-1,r1i1p1f1,gr,ssp585,2049,-19.408716601747628,-0.5176012106225452
E3SM-Project,E3SM-1-1,r1i1p1f1,gr,ssp585,2050,-17.58672300049989,1.3043923906251902
E3SM-Project,E3SM-1-1,r1i1p1f1,gr,ssp585,2051,-14.875640751760196,4.015474639364886
E3SM-Project,E3SM-1-1,r1i1p1f1,gr,ssp585,2052,-18.178733180164073,0.712382210961008
E3SM-Project,E3SM-1-1,r1i1p1f1,gr,ssp585,2053,-15.007536090097839,3.8835793010272432
E3SM-Project,E3SM-1-1,r1i1p1f1,gr,ssp585,2054,-18.061722045396095,0.8293933457289867
E3SM-Project,E3SM-1-1,r1i1p1f1,gr,ssp585,2055,-12.91324588519486,5.977869505930223
E3SM-Project,E3SM-1-1,r1i1p1f1,gr,ssp585,2056,-15.309306128659392,3.5818092624656916
E3SM-Project,E3SM-1-1,r1i1p1f1,gr,ssp585,2057,-17.030740014900477,1.8603753762246071
E3SM-Project,E3SM-1-1,r1i1p1f1,gr,ssp585,2058,-14.567454668495536,4.323660722629547
E3SM-Project,E3SM-1-1,r1i1p1f1,gr,ssp585,2059,-15.15373829489547,3.7373770962296113
E3SM-Project,E3SM-1-1,r1i1p1f1,gr,ssp585,2060,-15.783257604559376,3.1078577865657073
E3SM-Project,E3SM-1-1,r1i1p1f1,gr,ssp585,2061,-15.609323074747591,3.281792316377493
E3SM-Project,E3SM-1-1,r1i1p1f1,gr,ssp585,2062,-14.061200021758461,4.829915369366619
E3SM-Project,E3SM-1-1,r1i1p1f1,gr,ssp585,2063,-14.778149646211887,4.112965744913194
E3SM-Project,E3SM-1-1,r1i1p1f1,gr,ssp585,2064,-9.895803092507787,8.995312298617298
E3SM-Project,E3SM-1-1,r1i1p1f1,gr,ssp585,2065,-11.061264537733479,7.829850853391605
E3SM-Project,E3SM-1-1,r1i1p1f1,gr,ssp585,2066,-15.398631619355774,3.4924837717693085
E3SM-Project,E3SM-1-1,r1i1p1f1,gr,ssp585,2067,-13.60516157086749,5.285953820257593
E3SM-Project,E3SM-1-1,r1i1p1f1,gr,ssp585,2068,-13.614954372329185,5.276161018795899
E3SM-Project,E3SM-1-1,r1i1p1f1,gr,ssp585,2069,-9.736625936192995,9.154489454932088
E3SM-Project,E3SM-1-1,r1i1p1f1,gr,ssp585,2070,-11.572992905461769,7.318122485663314
E3SM-Project,E3SM-1-1,r1i1p1f1,gr,ssp585,2071,-12.916754749688101,5.974360641436983
E3SM-Project,E3SM-1-1,r1i1p1f1,gr,ssp585,2072,-12.518475862067865,6.372639529057218
E3SM-Project,E3SM-1-1,r1i1p1f1,gr,ssp585,2073,-7.89951185229918,10.991603538825904
E3SM-Project,E3SM-1-1,r1i1p1f1,gr,ssp585,2074,-12.586794793228359,6.304320597896724
E3SM-Project,E3SM-1-1,r1i1p1f1,gr,ssp585,2075,-10.149771585009118,8.741343806115966
E3SM-Project,E3SM-1-1,r1i1p1f1,gr,ssp585,2076,-11.013881001465279,7.8772343896598045
E3SM-Project,E3SM-1-1,r1i1p1f1,gr,ssp585,2077,-9.905236577139053,8.985878813986028
E3SM-Project,E3SM-1-1,r1i1p1f1,gr,ssp585,2078,-13.175612385178944,5.71550300594614
E3SM-Project,E3SM-1-1,r1i1p1f1,gr,ssp585,2079,-12.40768708125794,6.4834283098671435
E3SM-Project,E3SM-1-1,r1i1p1f1,gr,ssp585,2080,-8.111156849368305,10.779958541756779
E3SM-Project,E3SM-1-1,r1i1p1f1,gr,ssp585,2081,-7.638345020821913,11.25277037030317
E3SM-Project,E3SM-1-1,r1i1p1f1,gr,ssp585,2082,-8.545249585373655,10.345865805751428
E3SM-Project,E3SM-1-1,r1i1p1f1,gr,ssp585,2083,-10.34960813615231,8.541507254972773
E3SM-Project,E3SM-1-1,r1i1p1f1,gr,ssp585,2084,-7.265098017354383,11.626017373770699
E3SM-Project,E3SM-1-1,r1i1p1f1,gr,ssp585,2085,-8.973105079838414,9.918010311286668
E3SM-Project,E3SM-1-1,r1i1p1f1,gr,ssp585,2086,-9.273091075883748,9.618024315241334
E3SM-Project,E3SM-1-1,r1i1p1f1,gr,ssp585,2087,-7.496610087697821,11.39450530342726
E3SM-Project,E3SM-1-1,r1i1p1f1,gr,ssp585,2088,-9.60141578688807,9.289699604237013
E3SM-Project,E3SM-1-1,r1i1p1f1,gr,ssp585,2089,-9.655557364334223,9.23555802679086
E3SM-Project,E3SM-1-1,r1i1p1f1,gr,ssp585,2090,-6.6919469361322035,12.19916845499288
E3SM-Project,E3SM-1-1,r1i1p1f1,gr,ssp585,2091,-6.0858552063298275,12.805260184795257
E3SM-Project,E3SM-1-1,r1i1p1f1,gr,ssp585,2092,-9.52086128669868,9.370254104426401
E3SM-Project,E3SM-1-1,r1i1p1f1,gr,ssp585,2093,-6.281671394946126,12.609443996178959
E3SM-Project,E3SM-1-1,r1i1p1f1,gr,ssp585,2094,-5.387763418579936,13.503351972545149
E3SM-Project,E3SM-1-1,r1i1p1f1,gr,ssp585,2095,-5.985969071386054,12.90514631973903
E3SM-Project,E3SM-1-1,r1i1p1f1,gr,ssp585,2096,-4.96208598687095,13.929029404254132
E3SM-Project,E3SM-1-1,r1i1p1f1,gr,ssp585,2097,-6.052799301612388,12.838316089512697
E3SM-Project,E3SM-1-1,r1i1p1f1,gr,ssp585,2098,-3.7897584994673585,15.101356891657725
E3SM-Project,E3SM-1-1,r1i1p1f1,gr,ssp585,2099,-6.64712881669191,12.24398657443317
E3SM-Project,E3SM-1-1,r1i1p1f1,gr,ssp585,2100,-5.5051084664103955,13.386006924714687
