institution,source,member,siconc_grid,experiment,time,year,month,sia_Mkm2,pi_clim_sia_Mkm2,sia_anom_Mkm2
E3SM-Project,E3SM-1-1,r1i1p1f1,gr,ssp585,2015-01,2015,1,14.059516161541344,14.35951370248691,-0.2999975409455651
E3SM-Project,E3SM-1-1,r1i1p1f1,gr,ssp585,2015-02,2015,2,15.043134085920485,14.799408023928843,0.2437260619916426
E3SM-Project,E3SM-1-1,r1i1p1f1,gr,ssp585,2015-03,2015,3,15.281053619378008,14.89737057284081,0.38368304653719854
E3SM-Project,E3SM-1-1,r1i1p1f1,gr,ssp585,2015-04,2015,4,14.629194106638568,14.426237005561758,0.20295710107681053
E3SM-Project,E3SM-1-1,r1i1p1f1,gr,ssp585,2015-05,2015,5,12.597526406890035,12.662866575378182,-0.06534016848814694
E3SM-Project,E3SM-1-1,r1i1p1f1,gr,ssp585,2015-06,2015,6,9.928069062499755,10.606135874806176,-0.6780668123064206
E3SM-Project,E3SM-1-1,r1i1p1f1,gr,ssp585,2015-07,2015,7,7.386413814341947,8.461509207317528,-1.075095392975581
E3SM-Project,E3SM-1-1,r1i1p1f1,gr,ssp585,2015-08,2015,8,4.979878080410212,6.4175169418541405,-1.4376388614439284
E3SM-Project,E3SM-1-1,r1i1p1f1,gr,ssp585,2015-09,2015,9,3.6804415005684348,5.605723881188186,-1.925282380619751
E3SM-Project,E3SM-1-1,r1i1p1f1,gr,ssp585,2015-10,2015,10,5.537186932563644,7.851835153899614,-2.31464822133597
E3SM-Project,E3SM-1-1,r1i1p1f1,gr,ssp585,2015-11,2015,11,8.737600877846042,10.892860812145306,-2.1552599342992647
E3SM-Project,E3SM-1-1,r1i1p1f1,gr,ssp585,2015-12,2015,12,12.079245861292032,13.191488489771698,-1.1122426284796667
E3SM-Project,E3SM-1-1,r1i1p1f1,gr,ssp585,2016-01,2016,1,14.167495241594272,14.35951370248691,-0.19201846089263697
E3SM-Project,E3SM-1-1,r1i1p1f1,gr,ssp585,2016-02,2016,2,14.484883403071828,14.799408023928843,-0.31452462085701427
E3SM-Project,E3SM-1-1,r1i1p1f1,gr,ssp585,2016-03,2016,3,14.714065789492125,14.89737057284081,-0.18330478334868516
E3SM-Project,E3SM-1-1,r1i1p1f1,gr,ssp585,2016-04,2016,4,14.228871552884018,14.426237005561758,-0.1973654526777402
E3SM-Project,E3SM-1-1,r1i1p1f1,gr,ssp585,2016-05,2016,5,12.448839425278694,12.662866575378182,-0.21402715009948814
E3SM-Project,E3SM-1-1,r1i1p1f1,gr,ssp585,2016-06,2016,6,10.007025413192538,10.606135874806176,-0.5991104616136376
E3SM-Project,E3SM-1-1,r1i1p1f1,gr,ssp585,2016-07,2016,7,6.936707108995111,8.461509207317528,-1.524802098322417
E3SM-Project,E3SM-1-1,r1i1p1f1,gr,ssp585,2016-08,2016,8,4.0561468664798035,6.4175169418541405,-2.361370075374337
E3SM-Project,E3SM-1-1,r1i1p1f1,gr,ssp585,2016-09,2016,9,2.9306357236094174,5.605723881188186,-2.6750881575787684
E3SM-Project,E3SM-1-1,r1i1p1f1,gr,ssp585,2016-10,2016,10,5.13722623674909,7.851835153899614,-2.7146089171505245
E3SM-Project,E3SM-1-1,r1i1p1f1,gr,ssp585,2016-11,2016,11,9.195198472215866,10.892860812145306,-1.6976623399294404
E3SM-Project,E3SM-1-1,r1i1p1f1,gr,ssp585,2016-12,2016,12,12.486320559142706,13.191488489771698,-0.705167930628992
E3SM-Project,E3SM-1-1,r1i1p1f1,gr,ssp585,2017-01,2017,1,14.125346438772285,14.35951370248691,-0.2341672637146246
E3SM-Project,E3SM-1-1,r1i1p1f1,gr,ssp585,2017-02,2017,2,14.783271015221535,14.799408023928843,-0.016137008707307388
E3SM-Project,E3SM-1-1,r1i1p1f1,gr,ssp585,2017-03,2017,3,15.006430999035704,14.89737057284081,0.10906042619489398
E3SM-Project,E3SM-1-1,r1i1p1f1,gr,ssp585,2017-04,2017,4,14.767939039525658,14.426237005561758,0.34170203396389986
E3SM-Project,E3SM-1-1,r1i1p1f1,gr,ssp585,2017-05,2017,5,12.410911891136331,12.662866575378182,-0.2519546842418503
E3SM-Project,E3SM-1-1,r1i1p1f1,gr,ssp585,2017-06,2017,6,9.793466740737545,10.606135874806176,-0.8126691340686314
E3SM-Project,E3SM-1-1,r1i1p1f1,gr,ssp585,2017-07,2017,7,7.256451487748156,8.461509207317528,-1.2050577195693721
E3SM-Project,E3SM-1-1,r1i1p1f1,gr,ssp585,2017-08,2017,8,4.70467244425484,6.4175169418541405,-1.7128444975993
E3SM-Project,E3SM-1-1,r1i1p1f1,gr,ssp585,2017-09,2017,9,3.3094280975125474,5.605723881188186,-2.2962957836756384
E3SM-Project,E3SM-1-1,r1i1p1f1,gr,ssp585,2017-10,2017,10,6.347326724714755,7.851835153899614,-1.5045084291848596
E3SM-Project,E3SM-1-1,r1i1p1f1,gr,ssp585,2017-11,2017,11,9.650871482099934,10.892860812145306,-1.2419893300453726
E3SM-Project,E3SM-1-1,r1i1p1f1,gr,ssp585,2017-12,2017,12,11.953494800599424,13.191488489771698,-1.2379936891722743
E3SM-Project,E3SM-1-1,r1i1p1f1,gr,ssp585,2018-01,2018,1,13.678736364086276,14.35951370248691,-0.6807773384006328
E3SM-Project,E3SM-1-1,r1i1p1f1,gr,ssp585,2018-02,2018,2,14.534814720064027,14.799408023928843,-0.2645933038648156
