institution,source,member,siconc_grid,experiment,year,summer_min_time,summer_min_month,summer_min_sia_Mkm2,piControl_mean_summer_min_sia_Mkm2,piControl_std_summer_min_sia_Mkm2,summer_min_sia_anom_Mkm2
E3SM-Project,E3SM-1-1,r1i1p1f1,gr,ssp585,2015,2015-09,9,3.6804415005684348,5.605723881188187,0.5098749163902165,-1.9252823806197519
E3SM-Project,E3SM-1-1,r1i1p1f1,gr,ssp585,2016,2016-09,9,2.9306357236094174,5.605723881188187,0.5098749163902165,-2.6750881575787693
E3SM-Project,E3SM-1-1,r1i1p1f1,gr,ssp585,2017,2017-09,9,3.3094280975125474,5.605723881188187,0.5098749163902165,-2.2962957836756392
E3SM-Project,E3SM-1-1,r1i1p1f1,gr,ssp585,2018,2018-09,9,3.2026067966151617,5.605723881188187,0.5098749163902165,-2.403117084573025
E3SM-Project,E3SM-1-1,r1i1p1f1,gr,ssp585,2019,2019-09,9,2.952403109738601,5.605723881188187,0.5098749163902165,-2.6533207714495854
E3SM-Project,E3SM-1-1,r1i1p1f1,gr,ssp585,2020,2020-09,9,2.170819053408603,5.605723881188187,0.5098749163902165,-3.4349048277795835
E3SM-Project,E3SM-1-1,r1i1p1f1,gr,ssp585,2021,2021-09,9,1.547406509534725,5.605723881188187,0.5098749163902165,-4.0583173716534615
E3SM-Project,E3SM-1-1,r1i1p1f1,gr,ssp585,2022,2022-09,9,1.4903964160976266,5.605723881188187,0.5098749163902165,-4.1153274650905605
E3SM-Project,E3SM-1-1,r1i1p1f1,gr,ssp585,2023,2023-09,9,0.6507983585544797,5.605723881188187,0.5098749163902165,-4.954925522633707
E3SM-Project,E3SM-1-1,r1i1p1f1,gr,ssp585,2024,2024-09,9,0.5203542959279581,5.605723881188187,0.5098749163902165,-5.085369585260229
E3SM-Project,E3SM-1-1,r1i1p1f1,gr,ssp585,2025,2025-09,9,0.437127267776318,5.605723881188187,0.5098749163902165,-5.168596613411869
E3SM-Project,E3SM-1-1,r1i1p1f1,gr,ssp585,2026,2026-09,9,0.7331290450448399,5.605723881188187,0.5098749163902165,-4.872594836143347
E3SM-Project,E3SM-1-1,r1i1p1f1,gr,ssp585,2027,2027-09,9,0.9721565129074934,5.605723881188187,0.5098749163902165,-4.633567368280693
E3SM-Project,E3SM-1-1,r1i1p1f1,gr,ssp585,2028,2028-09,9,0.7132355648134467,5.605723881188187,0.5098749163902165,-4.89248831637474
E3SM-Project,E3SM-1-1,r1i1p1f1,gr,ssp585,2029,2029-09,9,0.6873402782537981,5.605723881188187,0.5098749163902165,-4.918383602934389
E3SM-Project,E3SM-1-1,r1i1p1f1,gr,ssp585,2030,2030-09,9,0.7008515702427267,5.605723881188187,0.5098749163902165,-4.90487231094546
E3SM-Project,E3SM-1-1,r1i1p1f1,gr,ssp585,2031,2031-09,9,0.304676121163841,5.605723881188187,0.5098749163902165,-5.301047760024345
E3SM-Project,E3SM-1-1,r1i1p1f1,gr,ssp585,2032,2032-09,9,0.18574110567326194,5.605723881188187,0.5098749163902165,-5.419982775514924
E3SM-Project,E3SM-1-1,r1i1p1f1,gr,ssp585,2033,2033-09,9,0.27878220993952074,5.605723881188187,0.5098749163902165,-5.326941671248666
E3SM-Project,E3SM-1-1,r1i1p1f1,gr,ssp585,2034,2034-09,9,0.2851472807865052,5.605723881188187,0.5098749163902165,-5.320576600401681
E3SM-Project,E3SM-1-1,r1i1p1f1,gr,ssp585,2035,2035-09,9,0.25206657810520233,5.605723881188187,0.5098749163902165,-5.353657303082985
E3SM-Project,E3SM-1-1,r1i1p1f1,gr,ssp585,2036,2036-09,9,0.11000906059954173,5.605723881188187,0.5098749163902165,-5.495714820588645
E3SM-Project,E3SM-1-1,r1i1p1f1,gr,ssp585,2037,2037-09,9,0.09984702326681015,5.605723881188187,0.5098749163902165,-5.505876857921376
E3SM-Project,E3SM-1-1,r1i1p1f1,gr,ssp585,2038,2038-09,9,0.06392125736299067,5.605723881188187,0.5098749163902165,-5.541802623825196
E3SM-Project,E3SM-1-1,r1i1p1f1,gr,ssp585,2039,2039-10,10,0.016760340213744854,5.605723881188187,0.5098749163902165,-5.588963540974442
E3SM-Project,E3SM-1-1,r1i1p1f1,gr,ssp585,2040,2040-09,9,0.04633562360021909,5.605723881188187,0.5098749163902165,-5.559388257587967
E3SM-Project,E3SM-1-1,r1i1p1f1,gr,ssp585,2041,2041-10,10,0.03236020413594291,5.605723881188187,0.5098749163902165,-5.573363677052244
E3SM-Project,E3SM-1-1,r1i1p1f1,gr,ssp585,2042,2042-10,10,0.002531412568269826,5.605723881188187,0.5098749163902165,-5.603192468619917
E3SM-Project,E3SM-1-1,r1i1p1f1,gr,ssp585,2043,2043-09,9,0.022926840907935942,5.605723881188187,0.5098749163902165,-5.5827970402802505
E3SM-Project,E3SM-1-1,r1i1p1f1,gr,ssp585,2044,2044-10,10,0.017003169072605805,5.605723881188187,0.5098749163902165,-5.588720712115581
E3SM-Project,E3SM-1-1,r1i1p1f1,gr,ssp585,2045,2045-10,10,0.0037919123661215113,5.605723881188187,0.5098749163902165,-5.601931968822065
E3SM-Project,E3SM-1-1,r1i1p1f1,gr,ssp585,2046,2046-10,10,0.027508222629487683,5.605723881188187,0.5098749163902165,-5.578215658558699
E3SM-Project,E3SM-1-1,r1i1p1f1,gr,ssp585,2047,2047-09,9,0.01112033968054144,5.605723881188187,0.5098749163902165,-5.594603541507645
