institution,source,member,grid,experiment,time,year,month,rsds_into_surface_Wm2,rlds_into_surface_Wm2,rsus_into_surface_Wm2,rlus_into_surface_Wm2,hfss_into_surface_Wm2,hfls_into_surface_Wm2,seb_Wm2,pi_clim_rsds_into_surface_Wm2,pi_clim_rlds_into_surface_Wm2,pi_clim_rsus_into_surface_Wm2,pi_clim_rlus_into_surface_Wm2,pi_clim_hfss_into_surface_Wm2,pi_clim_hfls_into_surface_Wm2,pi_clim_seb_Wm2,rsds_into_surface_Wm2_anom,rlds_into_surface_Wm2_anom,rsus_into_surface_Wm2_anom,rlus_into_surface_Wm2_anom,hfss_into_surface_Wm2_anom,hfls_into_surface_Wm2_anom,seb_anom_Wm2
CAS,FGOALS-g3,r1i1p1f1,gn,ssp585,2015-01,2015,1,1.8664940579487779,159.56809860857618,-0.9731649993435799,-203.239223114341,-10.791550552488443,-13.490314336820187,-67.05966033646824,1.8874779521945015,150.63579087708905,-1.0159150283794933,-194.47372872451973,-10.174915026770043,-13.338119177133633,-66.47940912751936,-0.020983894245723667,8.932307731487128,0.042750029035913406,-8.76549438982127,-0.6166355257184009,-0.1521951596865545,-0.58025120894888
CAS,FGOALS-g3,r1i1p1f1,gn,ssp585,2015-02,2015,2,11.877481902014278,154.59193056183133,-7.469965952669765,-198.1345145357628,-8.7114415293632,-12.700822217913974,-60.54733177186413,11.949909368109298,152.08676249313095,-7.55490545026998,-194.571567138781,-8.298759074884785,-12.537736325765612,-58.92629612846117,-0.07242746609501971,2.505168068700385,0.08493949760021557,-3.562947396981798,-0.41268245447841423,-0.1630858921483611,-1.621035643402962
CAS,FGOALS-g3,r1i1p1f1,gn,ssp585,2015-03,2015,3,57.96720568050766,166.84322703587915,-40.37991366776636,-212.07409673365268,-11.915759128256594,-14.732893360236218,-54.29223017352504,58.25222189759429,160.3535591169056,-41.18205243977837,-203.61446859905422,-6.771281558546,-11.426244372802726,-44.388265955681405,-0.2850162170866284,6.489667918973566,0.8021387720120075,-8.45962813459846,-5.1444775697105944,-3.3066489874334923,-9.903964217843637
CAS,FGOALS-g3,r1i1p1f1,gn,ssp585,2015-04,2015,4,154.9098669115324,197.0600860070129,-110.69485931698718,-242.6135502436912,-5.631914914896257,-10.652440509310347,-17.622812066339684,160.70062667808514,181.83119394722468,-117.85089919880946,-229.0374739652781,-5.674292385093888,-10.156911938244583,-20.187756862116238,-5.790759766552753,15.228892059788222,7.156039881822281,-13.576076278413097,0.04237747019763116,-0.49552857106576376,2.5649447957765545
CAS,FGOALS-g3,r1i1p1f1,gn,ssp585,2015-05,2015,5,252.06722200444673,232.64572223892472,-178.1810044156603,-276.5140735559723,-5.207376217144358,-9.789311451561156,15.02117860303334,259.462372756689,223.02127650574738,-188.10932996709553,-269.2034320868119,-4.741533747925083,-9.327434483444064,11.101918977159793,-7.395150752242245,9.624445733177339,9.928325551435222,-7.310641469160373,-0.4658424692192744,-0.46187696811709245,3.919259625873547
CAS,FGOALS-g3,r1i1p1f1,gn,ssp585,2015-06,2015,6,278.77322900747197,270.0695066752217,-175.1117431961153,-304.329482452295,-5.501995384261106,-10.095668092096728,53.803846557925596,278.01031595389145,267.1929938657856,-181.75214724619707,-301.54819202989717,-5.743930187539476,-9.823892397055165,46.335147958988166,0.7629130535805189,2.8765128094361216,6.64040405008177,-2.7812904223978308,0.24193480327837058,-0.27177569504156374,7.468698598937429
CAS,FGOALS-g3,r1i1p1f1,gn,ssp585,2015-07,2015,7,219.81781898979705,293.83641669924407,-110.98783027089587,-316.8919145404735,-4.257677725129278,-8.564616693376621,72.95219645916582,221.34602070336925,286.90613128533926,-116.8600474256379,-312.3891970914304,-5.308387789885974,-9.114989960584172,64.57952972117003,-1.5282017135722015,6.930285413904812,5.872217154742032,-4.502717449043132,1.0507100647566965,0.5503732672075508,8.372666737995786
CAS,FGOALS-g3,r1i1p1f1,gn,ssp585,2015-08,2015,8,143.15646534887483,283.11638449138513,-64.25352685686467,-310.4855785556232,-4.844092717539835,-9.379264429680497,37.31038728055176,142.6466170504716,277.7333675592987,-69.58036730176674,-306.1187028941003,-5.891328319938774,-9.990175462028182,28.799410631936293,0.5098482984032273,5.383016932086434,5.326840444902075,-4.366875661522897,1.0472356023989384,0.6109110323476852,8.510976648615465
CAS,FGOALS-g3,r1i1p1f1,gn,ssp585,2015-09,2015,9,65.1105002269615,256.045419864356,-28.443965830614513,-290.90312241213496,-7.179117048412075,-13.147319331751223,-18.51760453159525,68.56111371316099,244.5131987216941,-33.18334126145079,-282.6260576421684,-7.179982401682222,-13.437002882261043,-23.35207175270739,-3.4506134861994866,11.53222114266191,4.739375430836279,-8.277064769966557,0.0008653532701465849,0.2896835505098192,4.8344672211121384
CAS,FGOALS-g3,r1i1p1f1,gn,ssp585,2015-10,2015,10,18.083361283019745,209.17200192836097,-7.2490959695732915,-253.24141131962367,-14.056840297796294,-18.87430881368946,-66.166293189302,19.151116867762923,203.75321166694766,-8.599268712758045,-246.7972752439399,-9.586726702158742,-15.543751769734452,-57.622693893880545,-1.0677555847431783,5.4187902614133066,1.3501727431847534,-6.444136075683758,-4.470113595637551,-3.3305570439550074,-8.543599295421451
