institution,source,member,grid,experiment,year,seb_Wm2,seb_anom_Wm2
MOHC,HadGEM3-GC31-MM,r1i1p1f3,gn,ssp585,2015,-21.30022141740693,1.069547701337883
MOHC,HadGEM3-GC31-MM,r1i1p1f3,gn,ssp585,2016,-23.796168464363603,-1.4263993456187898
MOHC,HadGEM3-GC31-MM,r1i1p1f3,gn,ssp585,2017,-22.68834860130654,-0.3185794825617247
MOHC,HadGEM3-GC31-MM,r1i1p1f3,gn,ssp585,2018,-21.068551762467802,1.3012173562770115
MOHC,HadGEM3-GC31-MM,r1i1p1f3,gn,ssp585,2019,-22.238264905305105,0.13150421343970553
MOHC,HadGEM3-GC31-MM,r1i1p1f3,gn,ssp585,2020,-18.50333041751178,3.866438701233028
MOHC,HadGEM3-GC31-MM,r1i1p1f3,gn,ssp585,2021,-19.94847900907376,2.4212901096710486
MOHC,HadGEM3-GC31-MM,r1i1p1f3,gn,ssp585,2022,-22.00961599587536,0.3601531228694504
MOHC,HadGEM3-GC31-MM,r1i1p1f3,gn,ssp585,2023,-22.79473227787285,-0.42496315912803756
MOHC,HadGEM3-GC31-MM,r1i1p1f3,gn,ssp585,2024,-20.66758915318108,1.702179965563732
MOHC,HadGEM3-GC31-MM,r1i1p1f3,gn,ssp585,2025,-18.489557324726164,3.8802117940186487
MOHC,HadGEM3-GC31-MM,r1i1p1f3,gn,ssp585,2026,-21.366518236593368,1.0032508821514394
MOHC,HadGEM3-GC31-MM,r1i1p1f3,gn,ssp585,2027,-19.196050976574675,3.1737181421701366
MOHC,HadGEM3-GC31-MM,r1i1p1f3,gn,ssp585,2028,-19.738059293361143,2.631709825383667
MOHC,HadGEM3-GC31-MM,r1i1p1f3,gn,ssp585,2029,-21.61219277645858,0.7575763422862307
MOHC,HadGEM3-GC31-MM,r1i1p1f3,gn,ssp585,2030,-18.77385015227451,3.595918966470304
MOHC,HadGEM3-GC31-MM,r1i1p1f3,gn,ssp585,2031,-19.80993317837491,2.559835940369901
MOHC,HadGEM3-GC31-MM,r1i1p1f3,gn,ssp585,2032,-18.4480042518631,3.921764866881712
MOHC,HadGEM3-GC31-MM,r1i1p1f3,gn,ssp585,2033,-19.70968190536937,2.66008721337544
MOHC,HadGEM3-GC31-MM,r1i1p1f3,gn,ssp585,2034,-21.440663318468058,0.9291058002767496
MOHC,HadGEM3-GC31-MM,r1i1p1f3,gn,ssp585,2035,-18.988632911311544,3.381136207433265
MOHC,HadGEM3-GC31-MM,r1i1p1f3,gn,ssp585,2036,-17.810393373666837,4.559375745077974
MOHC,HadGEM3-GC31-MM,r1i1p1f3,gn,ssp585,2037,-19.55439138737772,2.815377731367093
MOHC,HadGEM3-GC31-MM,r1i1p1f3,gn,ssp585,2038,-19.18911019464866,3.1806589240961514
MOHC,HadGEM3-GC31-MM,r1i1p1f3,gn,ssp585,2039,-20.96740688295964,1.4023622357851693
MOHC,HadGEM3-GC31-MM,r1i1p1f3,gn,ssp585,2040,-22.762252781755734,-0.39248366301092474
MOHC,HadGEM3-GC31-MM,r1i1p1f3,gn,ssp585,2041,-19.556772707729536,2.812996411015277
MOHC,HadGEM3-GC31-MM,r1i1p1f3,gn,ssp585,2042,-20.751519080185403,1.6182500385594063
MOHC,HadGEM3-GC31-MM,r1i1p1f3,gn,ssp585,2043,-18.317380697896958,4.052388420847853
MOHC,HadGEM3-GC31-MM,r1i1p1f3,gn,ssp585,2044,-22.69301230476708,-0.3232431860222696
MOHC,HadGEM3-GC31-MM,r1i1p1f3,gn,ssp585,2045,-20.93495647269362,1.4348126460511914
MOHC,HadGEM3-GC31-MM,r1i1p1f3,gn,ssp585,2046,-21.602365135947426,0.767403982797382
MOHC,HadGEM3-GC31-MM,r1i1p1f3,gn,ssp585,2047,-18.85573813532126,3.514030983423551
MOHC,HadGEM3-GC31-MM,r1i1p1f3,gn,ssp585,2048,-20.486633854984714,1.8831352637600978
MOHC,HadGEM3-GC31-MM,r1i1p1f3,gn,ssp585,2049,-18.222331442541883,4.147437676202929
MOHC,HadGEM3-GC31-MM,r1i1p1f3,gn,ssp585,2050,-22.480263220325355,-0.11049410158054467
MOHC,HadGEM3-GC31-MM,r1i1p1f3,gn,ssp585,2051,-22.686808090315836,-0.31703897157102556
MOHC,HadGEM3-GC31-MM,r1i1p1f3,gn,ssp585,2052,-19.990583214504507,2.379185904240303
MOHC,HadGEM3-GC31-MM,r1i1p1f3,gn,ssp585,2053,-19.87433154044731,2.4954375782975005
MOHC,HadGEM3-GC31-MM,r1i1p1f3,gn,ssp585,2054,-19.079977870340386,3.2897912484044274
MOHC,HadGEM3-GC31-MM,r1i1p1f3,gn,ssp585,2055,-19.923848908099902,2.4459202106449083
MOHC,HadGEM3-GC31-MM,r1i1p1f3,gn,ssp585,2056,-19.856944995607744,2.512824123137068
MOHC,HadGEM3-GC31-MM,r1i1p1f3,gn,ssp585,2057,-17.79212097816112,4.577648140583694
MOHC,HadGEM3-GC31-MM,r1i1p1f3,gn,ssp585,2058,-19.32451904389062,3.0452500748541915
MOHC,HadGEM3-GC31-MM,r1i1p1f3,gn,ssp585,2059,-16.565583862475815,5.804185256268995
MOHC,HadGEM3-GC31-MM,r1i1p1f3,gn,ssp585,2060,-20.004419159997454,2.3653499587473585
MOHC,HadGEM3-GC31-MM,r1i1p1f3,gn,ssp585,2061,-19.209057805609074,3.160711313135739
MOHC,HadGEM3-GC31-MM,r1i1p1f3,gn,ssp585,2062,-19.237150906126782,3.1326182126180293
MOHC,HadGEM3-GC31-MM,r1i1p1f3,gn,ssp585,2063,-19.275161118014232,3.0946080007305796
MOHC,HadGEM3-GC31-MM,r1i1p1f3,gn,ssp585,2064,-20.005021443869452,2.3647476748753595
MOHC,HadGEM3-GC31-MM,r1i1p1f3,gn,ssp585,2065,-18.541841967865963,3.827927150878848
MOHC,HadGEM3-GC31-MM,r1i1p1f3,gn,ssp585,2066,-16.602260374521915,5.767508744222899
MOHC,HadGEM3-GC31-MM,r1i1p1f3,gn,ssp585,2067,-17.671117814329502,4.698651304415307
MOHC,HadGEM3-GC31-MM,r1i1p1f3,gn,ssp585,2068,-18.324503061643018,4.0452660571017915
MOHC,HadGEM3-GC31-MM,r1i1p1f3,gn,ssp585,2069,-17.83591732291045,4.533851795834359
MOHC,HadGEM3-GC31-MM,r1i1p1f3,gn,ssp585,2070,-15.65339716454767,6.7163719541971405
MOHC,HadGEM3-GC31-MM,r1i1p1f3,gn,ssp585,2071,-17.97433690327463,4.395432215470183
MOHC,HadGEM3-GC31-MM,r1i1p1f3,gn,ssp585,2072,-17.628898376996336,4.740870741748476
MOHC,HadGEM3-GC31-MM,r1i1p1f3,gn,ssp585,2073,-17.979305067998414,4.390464050746398
MOHC,HadGEM3-GC31-MM,r1i1p1f3,gn,ssp585,2074,-15.193563492914173,7.176205625830639
MOHC,HadGEM3-GC31-MM,r1i1p1f3,gn,ssp585,2075,-17.75679210644975,4.612977012295061
MOHC,HadGEM3-GC31-MM,r1i1p1f3,gn,ssp585,2076,-18.109244775973952,4.260524342770856
MOHC,HadGEM3-GC31-MM,r1i1p1f3,gn,ssp585,2077,-16.575535545061076,5.794233573683738
MOHC,HadGEM3-GC31-MM,r1i1p1f3,gn,ssp585,2078,-16.807671808089328,5.562097310655486
MOHC,HadGEM3-GC31-MM,r1i1p1f3,gn,ssp585,2079,-18.2746956516737,4.09507346707111
MOHC,HadGEM3-GC31-MM,r1i1p1f3,gn,ssp585,2080,-15.776555635181483,6.5932134835633285
MOHC,HadGEM3-GC31-MM,r1i1p1f3,gn,ssp585,2081,-15.707087796632635,6.662681322112178
MOHC,HadGEM3-GC31-MM,r1i1p1f3,gn,ssp585,2082,-16.451703040859545,5.918066077885263
MOHC,HadGEM3-GC31-MM,r1i1p1f3,gn,ssp585,2083,-14.688074221302953,7.681694897441861
MOHC,HadGEM3-GC31-MM,r1i1p1f3,gn,ssp585,2084,-19.919564592394494,2.4502045263503187
MOHC,HadGEM3-GC31-MM,r1i1p1f3,gn,ssp585,2085,-18.659343358808616,3.710425759936195
MOHC,HadGEM3-GC31-MM,r1i1p1f3,gn,ssp585,2086,-12.448346471950282,9.921422646794527
MOHC,HadGEM3-GC31-MM,r1i1p1f3,gn,ssp585,2087,-15.178037317063405,7.191731801681409
MOHC,HadGEM3-GC31-MM,r1i1p1f3,gn,ssp585,2088,-12.979765744065517,9.390003374679296
MOHC,HadGEM3-GC31-MM,r1i1p1f3,gn,ssp585,2089,-16.565494372437623,5.804274746307187
MOHC,HadGEM3-GC31-MM,r1i1p1f3,gn,ssp585,2090,-13.70156249803196,8.668206620712851
MOHC,HadGEM3-GC31-MM,r1i1p1f3,gn,ssp585,2091,-16.538255969941186,5.831513148803626
MOHC,HadGEM3-GC31-MM,r1i1p1f3,gn,ssp585,2092,-15.453868167058014,6.915900951686797
MOHC,HadGEM3-GC31-MM,r1i1p1f3,gn,ssp585,2093,-11.991321550665978,10.378447568078833
MOHC,HadGEM3-GC31-MM,r1i1p1f3,gn,ssp585,2094,-12.314259212852193,10.055509905892619
MOHC,HadGEM3-GC31-MM,r1i1p1f3,gn,ssp585,2095,-11.73799716178609,10.631771956958723
