institution,source,member,grid,experiment,time,year,month,rsds_into_surface_Wm2,rlds_into_surface_Wm2,rsus_into_surface_Wm2,rlus_into_surface_Wm2,hfss_into_surface_Wm2,hfls_into_surface_Wm2,seb_Wm2,pi_clim_rsds_into_surface_Wm2,pi_clim_rlds_into_surface_Wm2,pi_clim_rsus_into_surface_Wm2,pi_clim_rlus_into_surface_Wm2,pi_clim_hfss_into_surface_Wm2,pi_clim_hfls_into_surface_Wm2,pi_clim_seb_Wm2,rsds_into_surface_Wm2_anom,rlds_into_surface_Wm2_anom,rsus_into_surface_Wm2_anom,rlus_into_surface_Wm2_anom,hfss_into_surface_Wm2_anom,hfls_into_surface_Wm2_anom,seb_anom_Wm2
MOHC,HadGEM3-GC31-MM,r1i1p1f3,gn,ssp585,2015-01,2015,1,1.6315029498347835,210.0745656594326,-0.6653912459292953,-251.35188871403562,-25.732918705227345,-28.00893656204289,-94.05306661796777,1.7227100314529493,193.9804904647048,-0.7822015363072009,-235.58129853545623,-24.99856849835789,-25.531722016018545,-91.19059008998212,-0.09120708161816582,16.09407519472782,0.11681029037790558,-15.770590178579397,-0.7343502068694541,-2.4772145460243458,-2.862476527985649
MOHC,HadGEM3-GC31-MM,r1i1p1f3,gn,ssp585,2015-02,2015,2,11.025183323325892,203.0281730615061,-5.926221410897849,-244.6977957390134,-25.712549941690554,-28.95479399218403,-91.23800469895383,11.529134924604705,191.89841912821342,-6.504624913022127,-232.40993072408463,-23.337753025766304,-24.1835886140352,-83.00834322409014,-0.5039516012788123,11.129753933292676,0.5784035021242779,-12.28786501492877,-2.37479691592425,-4.771205378148828,-8.22966147486369
MOHC,HadGEM3-GC31-MM,r1i1p1f3,gn,ssp585,2015-03,2015,3,53.997082470929136,206.83389828034612,-32.873962661422624,-248.25281925335642,-20.78866881610987,-24.812208825276688,-65.89667880489036,56.571853077214016,196.31094143088262,-36.053999532915746,-238.2636965257824,-19.271652556696157,-21.52202866989259,-62.228582777190276,-2.574770606284879,10.522956849463498,3.1800368714931224,-9.989122727574028,-1.5170162594137118,-3.2901801553840997,-3.6680960277000807
MOHC,HadGEM3-GC31-MM,r1i1p1f3,gn,ssp585,2015-04,2015,4,146.49825110495587,223.0648124478864,-91.93031796178764,-268.85941877281056,-16.420998248054136,-23.50898662380303,-31.156658053613093,154.49782815524213,213.2941633966903,-101.78192825280637,-259.53288415870963,-12.988156397336308,-18.11294556082615,-24.623922817746,-7.999577050286263,9.770649051196102,9.85161029101873,-9.326534614100922,-3.4328418507178284,-5.396041062976877,-6.532735235867094
MOHC,HadGEM3-GC31-MM,r1i1p1f3,gn,ssp585,2015-05,2015,5,235.09264735030052,262.1806007958775,-134.98923927923298,-301.1308549349904,-5.483595770533397,-16.720466124776994,38.949092036644316,245.042159439559,251.43938121636333,-151.3514548276473,-293.6305209070672,-7.564513727918955,-16.903231802428436,27.031819390860427,-9.949512089258462,10.741219579514194,16.362215548414326,-7.500334027923202,2.080917957385558,0.18276567765144236,11.91727264578389
MOHC,HadGEM3-GC31-MM,r1i1p1f3,gn,ssp585,2015-06,2015,6,245.12335829146306,295.5475834828028,-96.68468479029383,-322.938896409893,-1.8686069431915568,-13.916257440099189,105.26249619078831,265.04952995922497,285.7066561186733,-124.25614665558646,-317.9350077290615,-2.186221886201868,-14.28140094756764,92.09740885948084,-19.926171667761906,9.84092736412947,27.571461865292633,-5.003888680831494,0.31761494301031123,0.36514350746845103,13.165087331307475
MOHC,HadGEM3-GC31-MM,r1i1p1f3,gn,ssp585,2015-07,2015,7,211.20712129409938,304.1397641366057,-50.95282306963086,-330.9806698128612,-0.899579923443642,-12.617223123840905,119.8965895009285,222.6551713790024,298.5233282622822,-67.64574156239078,-326.8162169279525,-0.7419815788614642,-11.668542192052964,114.30601738002694,-11.44805008490303,5.6164358743235425,16.692918492759922,-4.164452884908712,-0.1575983445821778,-0.9486809317879406,5.590572120901555
MOHC,HadGEM3-GC31-MM,r1i1p1f3,gn,ssp585,2015-08,2015,8,135.93803474461373,303.98313993554126,-27.621943250984746,-334.0875186861892,-3.6973409869788574,-16.673037849957193,57.84133390604498,142.19569714101556,298.0390283279156,-37.69724490221453,-328.4287884973261,-3.603852472556795,-16.130398745449273,54.37444085138452,-6.257662396401827,5.9441116076256435,10.075301651229783,-5.658730188863103,-0.09348851442206252,-0.54263910450792,3.46689305466046
MOHC,HadGEM3-GC31-MM,r1i1p1f3,gn,ssp585,2015-09,2015,9,59.80460508921661,288.7554953662018,-12.226447215737878,-325.0740361521628,-10.030086617839048,-27.24875868075019,-26.019228211071585,62.613561865916886,279.0677488244989,-17.277829589380136,-315.2794120145541,-10.065950293625738,-24.98466093532835,-25.92654214247256,-2.8089567767002777,9.687746541702893,5.051382373642259,-9.794624137608707,0.0358636757866897,-2.2640977454218394,-0.09268606859902562
MOHC,HadGEM3-GC31-MM,r1i1p1f3,gn,ssp585,2015-10,2015,10,15.349435683756708,266.59192470189254,-2.9787847280465236,-305.24603584840474,-17.72354845533575,-30.306275876799404,-74.31328452293718,16.537932607811147,249.37456197204523,-4.116453805445307,-290.29332365225525,-18.400178706548605,-29.54131973445973,-76.43878131885252,-1.188496924054439,17.21736272984731,1.1376690773987832,-14.952712196149491,0.6766302512128561,-0.764956142339674,2.125496795915339
