institution,source,member,siconc_grid,experiment,time,year,month,sia_Mkm2,pi_clim_sia_Mkm2,sia_anom_Mkm2
MOHC,HadGEM3-GC31-MM,r1i1p1f3,gn,ssp585,2015-01,2015,1,11.400842166645061,12.46439324807196,-1.0635510814268994
MOHC,HadGEM3-GC31-MM,r1i1p1f3,gn,ssp585,2015-02,2015,2,11.779662259733037,12.763345495202323,-0.9836832354692859
MOHC,HadGEM3-GC31-MM,r1i1p1f3,gn,ssp585,2015-03,2015,3,11.822571999873757,12.85003905745385,-1.0274670575800933
MOHC,HadGEM3-GC31-MM,r1i1p1f3,gn,ssp585,2015-04,2015,4,11.649700361927664,12.628508977721728,-0.9788086157940636
MOHC,HadGEM3-GC31-MM,r1i1p1f3,gn,ssp585,2015-05,2015,5,10.511536234169029,11.66691685986157,-1.1553806256925405
MOHC,HadGEM3-GC31-MM,r1i1p1f3,gn,ssp585,2015-06,2015,6,8.736733836164474,9.976523623563297,-1.2397897873988235
MOHC,HadGEM3-GC31-MM,r1i1p1f3,gn,ssp585,2015-07,2015,7,5.957453274451096,7.6331252214191965,-1.6756719469681007
MOHC,HadGEM3-GC31-MM,r1i1p1f3,gn,ssp585,2015-08,2015,8,3.867732359196035,5.735170216478646,-1.867437857282611
MOHC,HadGEM3-GC31-MM,r1i1p1f3,gn,ssp585,2015-09,2015,9,3.9488481045555064,5.907398760841263,-1.9585506562857562
MOHC,HadGEM3-GC31-MM,r1i1p1f3,gn,ssp585,2015-10,2015,10,5.967940024769767,7.708548746192416,-1.7406087214226487
MOHC,HadGEM3-GC31-MM,r1i1p1f3,gn,ssp585,2015-11,2015,11,8.721490742464656,10.054588232460844,-1.333097489996188
MOHC,HadGEM3-GC31-MM,r1i1p1f3,gn,ssp585,2015-12,2015,12,10.364506198069428,11.70504233648607,-1.3405361384166419
MOHC,HadGEM3-GC31-MM,r1i1p1f3,gn,ssp585,2016-01,2016,1,11.26994805116391,12.46439324807196,-1.1944451969080507
MOHC,HadGEM3-GC31-MM,r1i1p1f3,gn,ssp585,2016-02,2016,2,11.574669830715852,12.763345495202323,-1.188675664486471
MOHC,HadGEM3-GC31-MM,r1i1p1f3,gn,ssp585,2016-03,2016,3,11.70748095900985,12.85003905745385,-1.1425580984440007
MOHC,HadGEM3-GC31-MM,r1i1p1f3,gn,ssp585,2016-04,2016,4,11.577386156285199,12.628508977721728,-1.051122821436529
MOHC,HadGEM3-GC31-MM,r1i1p1f3,gn,ssp585,2016-05,2016,5,10.717855969050381,11.66691685986157,-0.9490608908111877
MOHC,HadGEM3-GC31-MM,r1i1p1f3,gn,ssp585,2016-06,2016,6,9.083903910713202,9.976523623563297,-0.8926197128500952
MOHC,HadGEM3-GC31-MM,r1i1p1f3,gn,ssp585,2016-07,2016,7,6.406780393277745,7.6331252214191965,-1.2263448281414515
MOHC,HadGEM3-GC31-MM,r1i1p1f3,gn,ssp585,2016-08,2016,8,4.251013525014364,5.735170216478646,-1.4841566914642819
MOHC,HadGEM3-GC31-MM,r1i1p1f3,gn,ssp585,2016-09,2016,9,4.361414546626797,5.907398760841263,-1.5459842142144655
MOHC,HadGEM3-GC31-MM,r1i1p1f3,gn,ssp585,2016-10,2016,10,6.352640287464894,7.708548746192416,-1.355908458727522
MOHC,HadGEM3-GC31-MM,r1i1p1f3,gn,ssp585,2016-11,2016,11,8.730872851020193,10.054588232460844,-1.3237153814406515
MOHC,HadGEM3-GC31-MM,r1i1p1f3,gn,ssp585,2016-12,2016,12,10.498249058247385,11.70504233648607,-1.2067932782386848
MOHC,HadGEM3-GC31-MM,r1i1p1f3,gn,ssp585,2017-01,2017,1,11.304700357082654,12.46439324807196,-1.159692890989307
MOHC,HadGEM3-GC31-MM,r1i1p1f3,gn,ssp585,2017-02,2017,2,11.76284289700678,12.763345495202323,-1.000502598195542
MOHC,HadGEM3-GC31-MM,r1i1p1f3,gn,ssp585,2017-03,2017,3,12.015743230081505,12.85003905745385,-0.8342958273723458
MOHC,HadGEM3-GC31-MM,r1i1p1f3,gn,ssp585,2017-04,2017,4,11.77480844181632,12.628508977721728,-0.8537005359054071
MOHC,HadGEM3-GC31-MM,r1i1p1f3,gn,ssp585,2017-05,2017,5,10.7669430419167,11.66691685986157,-0.8999738179448684
MOHC,HadGEM3-GC31-MM,r1i1p1f3,gn,ssp585,2017-06,2017,6,9.088000444260176,9.976523623563297,-0.888523179303121
