institution,source,member,siconc_grid,experiment,year,summer_min_time,summer_min_month,summer_min_sia_Mkm2,piControl_mean_summer_min_sia_Mkm2,piControl_std_summer_min_sia_Mkm2,summer_min_sia_anom_Mkm2
MOHC,HadGEM3-GC31-MM,r1i1p1f3,gn,ssp585,2015,2015-08,8,3.867732359196035,5.7180324747327225,0.493814940647838,-1.8503001155366876
MOHC,HadGEM3-GC31-MM,r1i1p1f3,gn,ssp585,2016,2016-08,8,4.251013525014364,5.7180324747327225,0.493814940647838,-1.4670189497183586
MOHC,HadGEM3-GC31-MM,r1i1p1f3,gn,ssp585,2017,2017-09,9,3.6487940482622814,5.7180324747327225,0.493814940647838,-2.069238426470441
MOHC,HadGEM3-GC31-MM,r1i1p1f3,gn,ssp585,2018,2018-09,9,3.540376297127521,5.7180324747327225,0.493814940647838,-2.1776561776052015
MOHC,HadGEM3-GC31-MM,r1i1p1f3,gn,ssp585,2019,2019-08,8,4.0211853516209874,5.7180324747327225,0.493814940647838,-1.696847123111735
MOHC,HadGEM3-GC31-MM,r1i1p1f3,gn,ssp585,2020,2020-09,9,3.319529643346652,5.7180324747327225,0.493814940647838,-2.3985028313860703
MOHC,HadGEM3-GC31-MM,r1i1p1f3,gn,ssp585,2021,2021-09,9,3.797966616033573,5.7180324747327225,0.493814940647838,-1.9200658586991493
MOHC,HadGEM3-GC31-MM,r1i1p1f3,gn,ssp585,2022,2022-08,8,3.5705862971103928,5.7180324747327225,0.493814940647838,-2.1474461776223297
MOHC,HadGEM3-GC31-MM,r1i1p1f3,gn,ssp585,2023,2023-08,8,3.817947768295127,5.7180324747327225,0.493814940647838,-1.9000847064375956
MOHC,HadGEM3-GC31-MM,r1i1p1f3,gn,ssp585,2024,2024-09,9,3.018347751734823,5.7180324747327225,0.493814940647838,-2.6996847229978993
MOHC,HadGEM3-GC31-MM,r1i1p1f3,gn,ssp585,2025,2025-09,9,2.4229054616132575,5.7180324747327225,0.493814940647838,-3.295127013119465
MOHC,HadGEM3-GC31-MM,r1i1p1f3,gn,ssp585,2026,2026-09,9,2.9237823195773194,5.7180324747327225,0.493814940647838,-2.794250155155403
MOHC,HadGEM3-GC31-MM,r1i1p1f3,gn,ssp585,2027,2027-09,9,2.585118508620384,5.7180324747327225,0.493814940647838,-3.1329139661123384
