institution,source,member,siconc_grid,experiment,time,year,month,sia_Mkm2,pi_clim_sia_Mkm2,sia_anom_Mkm2
MIROC,MIROC6,r1i1p1f1,gn,ssp585,2015-01,2015,1,10.221296341422544,10.916717630660717,-0.6954212892381726
MIROC,MIROC6,r1i1p1f1,gn,ssp585,2015-02,2015,2,10.723177153131155,11.18970722294868,-0.46653006981752476
MIROC,MIROC6,r1i1p1f1,gn,ssp585,2015-03,2015,3,10.938604785229268,11.27320757998345,-0.33460279475418275
MIROC,MIROC6,r1i1p1f1,gn,ssp585,2015-04,2015,4,10.694720936630507,11.128652695501271,-0.43393175887076474
MIROC,MIROC6,r1i1p1f1,gn,ssp585,2015-05,2015,5,9.766958080785141,10.46864818202685,-0.7016901012417094
MIROC,MIROC6,r1i1p1f1,gn,ssp585,2015-06,2015,6,7.941006174274232,9.010163166980703,-1.0691569927064712
MIROC,MIROC6,r1i1p1f1,gn,ssp585,2015-07,2015,7,5.699588529620751,7.205978780163648,-1.5063902505428972
MIROC,MIROC6,r1i1p1f1,gn,ssp585,2015-08,2015,8,3.7828796866568988,5.904109962335941,-2.121230275679042
MIROC,MIROC6,r1i1p1f1,gn,ssp585,2015-09,2015,9,3.658161869120014,6.1203564985988885,-2.4621946294788746
MIROC,MIROC6,r1i1p1f1,gn,ssp585,2015-10,2015,10,5.885495551424358,8.040021515886416,-2.1545259644620574
MIROC,MIROC6,r1i1p1f1,gn,ssp585,2015-11,2015,11,8.347824081038818,9.346480595267149,-0.9986565142283315
MIROC,MIROC6,r1i1p1f1,gn,ssp585,2015-12,2015,12,9.378622225847659,10.295898968658719,-0.91727674281106
MIROC,MIROC6,r1i1p1f1,gn,ssp585,2016-01,2016,1,10.284885016523972,10.916717630660717,-0.6318326141367443
MIROC,MIROC6,r1i1p1f1,gn,ssp585,2016-02,2016,2,10.650213329995895,11.18970722294868,-0.5394938929527857
MIROC,MIROC6,r1i1p1f1,gn,ssp585,2016-03,2016,3,10.742311562452914,11.27320757998345,-0.5308960175305373
MIROC,MIROC6,r1i1p1f1,gn,ssp585,2016-04,2016,4,10.58535082661599,11.128652695501271,-0.5433018688852815
MIROC,MIROC6,r1i1p1f1,gn,ssp585,2016-05,2016,5,9.975850852635181,10.46864818202685,-0.492797329391669
MIROC,MIROC6,r1i1p1f1,gn,ssp585,2016-06,2016,6,8.263271024646416,9.010163166980703,-0.7468921423342874
MIROC,MIROC6,r1i1p1f1,gn,ssp585,2016-07,2016,7,6.1605827939194375,7.205978780163648,-1.0453959862442108
MIROC,MIROC6,r1i1p1f1,gn,ssp585,2016-08,2016,8,4.440644228546565,5.904109962335941,-1.4634657337893762
MIROC,MIROC6,r1i1p1f1,gn,ssp585,2016-09,2016,9,4.111732179170041,6.1203564985988885,-2.008624319428847
MIROC,MIROC6,r1i1p1f1,gn,ssp585,2016-10,2016,10,6.3899329658974775,8.040021515886416,-1.6500885499889382
MIROC,MIROC6,r1i1p1f1,gn,ssp585,2016-11,2016,11,8.631071007826451,9.346480595267149,-0.715409587440698
MIROC,MIROC6,r1i1p1f1,gn,ssp585,2016-12,2016,12,9.43048231811805,10.295898968658719,-0.8654166505406682
MIROC,MIROC6,r1i1p1f1,gn,ssp585,2017-01,2017,1,10.394531276875625,10.916717630660717,-0.5221863537850915
MIROC,MIROC6,r1i1p1f1,gn,ssp585,2017-02,2017,2,10.823442933698974,11.18970722294868,-0.3662642892497061
MIROC,MIROC6,r1i1p1f1,gn,ssp585,2017-03,2017,3,10.927946932003472,11.27320757998345,-0.3452606479799787
MIROC,MIROC6,r1i1p1f1,gn,ssp585,2017-04,2017,4,10.706504711519802,11.128652695501271,-0.42214798398146947
MIROC,MIROC6,r1i1p1f1,gn,ssp585,2017-05,2017,5,9.998669239926711,10.46864818202685,-0.46997894210013946
MIROC,MIROC6,r1i1p1f1,gn,ssp585,2017-06,2017,6,8.24643571244975,9.010163166980703,-0.7637274545309527
MIROC,MIROC6,r1i1p1f1,gn,ssp585,2017-07,2017,7,6.260008901277589,7.205978780163648,-0.9459698788860598
MIROC,MIROC6,r1i1p1f1,gn,ssp585,2017-08,2017,8,4.623849045541875,5.904109962335941,-1.2802609167940657
MIROC,MIROC6,r1i1p1f1,gn,ssp585,2017-09,2017,9,4.24511558522514,6.1203564985988885,-1.8752409133737489
MIROC,MIROC6,r1i1p1f1,gn,ssp585,2017-10,2017,10,6.169978767267381,8.040021515886416,-1.870042748619035
MIROC,MIROC6,r1i1p1f1,gn,ssp585,2017-11,2017,11,8.333060734765766,9.346480595267149,-1.0134198605013829
MIROC,MIROC6,r1i1p1f1,gn,ssp585,2017-12,2017,12,9.34244660990105,10.295898968658719,-0.9534523587576693
MIROC,MIROC6,r1i1p1f1,gn,ssp585,2018-01,2018,1,10.157456338194145,10.916717630660717,-0.7592612924665723
MIROC,MIROC6,r1i1p1f1,gn,ssp585,2018-02,2018,2,10.6151428925967,11.18970722294868,-0.574564330351981
MIROC,MIROC6,r1i1p1f1,gn,ssp585,2018-03,2018,3,10.623443602031248,11.27320757998345,-0.6497639779522029
MIROC,MIROC6,r1i1p1f1,gn,ssp585,2018-04,2018,4,10.295707404689185,11.128652695501271,-0.832945290812086
MIROC,MIROC6,r1i1p1f1,gn,ssp585,2018-05,2018,5,9.585946425536152,10.46864818202685,-0.8827017564906985
MIROC,MIROC6,r1i1p1f1,gn,ssp585,2018-06,2018,6,7.8657968023924685,9.010163166980703,-1.144366364588235
MIROC,MIROC6,r1i1p1f1,gn,ssp585,2018-07,2018,7,5.64617948590188,7.205978780163648,-1.5597992942617687
MIROC,MIROC6,r1i1p1f1,gn,ssp585,2018-08,2018,8,4.098482934682365,5.904109962335941,-1.8056270276535757
MIROC,MIROC6,r1i1p1f1,gn,ssp585,2018-09,2018,9,3.9604784525679135,6.1203564985988885,-2.159878046030975
MIROC,MIROC6,r1i1p1f1,gn,ssp585,2018-10,2018,10,5.798259592319764,8.040021515886416,-2.241761923566652
MIROC,MIROC6,r1i1p1f1,gn,ssp585,2018-11,2018,11,8.422271887433633,9.346480595267149,-0.9242087078335164
MIROC,MIROC6,r1i1p1f1,gn,ssp585,2018-12,2018,12,9.368786080058694,10.295898968658719,-0.9271128886000248
MIROC,MIROC6,r1i1p1f1,gn,ssp585,2019-01,2019,1,10.146390035406089,10.916717630660717,-0.7703275952546278
