institution,source,member,siconc_grid,experiment,time,year,month,sia_Mkm2,pi_clim_sia_Mkm2,sia_anom_Mkm2
MPI-M,MPI-ESM1-2-LR,r1i1p1f1,gn,ssp585,2015-01,2015,1,11.226190715346076,12.020660404907204,-0.7944696895611276
MPI-M,MPI-ESM1-2-LR,r1i1p1f1,gn,ssp585,2015-02,2015,2,11.370466630765113,12.256828299507964,-0.8863616687428504
MPI-M,MPI-ESM1-2-LR,r1i1p1f1,gn,ssp585,2015-03,2015,3,11.47419713904889,12.317463538359021,-0.8432663993101315
MPI-M,MPI-ESM1-2-LR,r1i1p1f1,gn,ssp585,2015-04,2015,4,11.369191571573333,12.135504837613507,-0.7663132660401732
MPI-M,MPI-ESM1-2-LR,r1i1p1f1,gn,ssp585,2015-05,2015,5,10.43725363096164,11.393198298032384,-0.9559446670707441
MPI-M,MPI-ESM1-2-LR,r1i1p1f1,gn,ssp585,2015-06,2015,6,8.491531760810052,9.671095999829578,-1.179564239019527
MPI-M,MPI-ESM1-2-LR,r1i1p1f1,gn,ssp585,2015-07,2015,7,5.539910483924652,7.215147840636694,-1.6752373567120413
MPI-M,MPI-ESM1-2-LR,r1i1p1f1,gn,ssp585,2015-08,2015,8,3.7735556953398293,5.642142380594146,-1.868586685254317
MPI-M,MPI-ESM1-2-LR,r1i1p1f1,gn,ssp585,2015-09,2015,9,3.4503044925055755,5.4605797082898695,-2.010275215784294
MPI-M,MPI-ESM1-2-LR,r1i1p1f1,gn,ssp585,2015-10,2015,10,5.035960664679481,7.102370541760757,-2.066409877081276
MPI-M,MPI-ESM1-2-LR,r1i1p1f1,gn,ssp585,2015-11,2015,11,7.686548488089289,9.426893207124081,-1.740344719034792
MPI-M,MPI-ESM1-2-LR,r1i1p1f1,gn,ssp585,2015-12,2015,12,9.935823221091171,11.18721110355299,-1.2513878824618185
MPI-M,MPI-ESM1-2-LR,r1i1p1f1,gn,ssp585,2016-01,2016,1,10.93135175574378,12.020660404907204,-1.0893086491634243
MPI-M,MPI-ESM1-2-LR,r1i1p1f1,gn,ssp585,2016-02,2016,2,11.204731689626565,12.256828299507964,-1.0520966098813993
MPI-M,MPI-ESM1-2-LR,r1i1p1f1,gn,ssp585,2016-03,2016,3,11.382902813987346,12.317463538359021,-0.9345607243716749
MPI-M,MPI-ESM1-2-LR,r1i1p1f1,gn,ssp585,2016-04,2016,4,11.317374727703909,12.135504837613507,-0.8181301099095979
MPI-M,MPI-ESM1-2-LR,r1i1p1f1,gn,ssp585,2016-05,2016,5,10.45225288355559,11.393198298032384,-0.9409454144767952
MPI-M,MPI-ESM1-2-LR,r1i1p1f1,gn,ssp585,2016-06,2016,6,8.284740642744017,9.671095999829578,-1.3863553570855611
MPI-M,MPI-ESM1-2-LR,r1i1p1f1,gn,ssp585,2016-07,2016,7,5.846713563131063,7.215147840636694,-1.3684342775056306
MPI-M,MPI-ESM1-2-LR,r1i1p1f1,gn,ssp585,2016-08,2016,8,3.9956019313063154,5.642142380594146,-1.6465404492878308
MPI-M,MPI-ESM1-2-LR,r1i1p1f1,gn,ssp585,2016-09,2016,9,3.639244048238325,5.4605797082898695,-1.8213356600515445
MPI-M,MPI-ESM1-2-LR,r1i1p1f1,gn,ssp585,2016-10,2016,10,5.693219252228741,7.102370541760757,-1.4091512895320157
MPI-M,MPI-ESM1-2-LR,r1i1p1f1,gn,ssp585,2016-11,2016,11,7.880696213635542,9.426893207124081,-1.5461969934885396
MPI-M,MPI-ESM1-2-LR,r1i1p1f1,gn,ssp585,2016-12,2016,12,10.023141773805595,11.18721110355299,-1.1640693297473952
MPI-M,MPI-ESM1-2-LR,r1i1p1f1,gn,ssp585,2017-01,2017,1,11.18694086521345,12.020660404907204,-0.8337195396937549
MPI-M,MPI-ESM1-2-LR,r1i1p1f1,gn,ssp585,2017-02,2017,2,11.443957126060956,12.256828299507964,-0.8128711734470073
MPI-M,MPI-ESM1-2-LR,r1i1p1f1,gn,ssp585,2017-03,2017,3,11.545798344966691,12.317463538359021,-0.7716651933923302
MPI-M,MPI-ESM1-2-LR,r1i1p1f1,gn,ssp585,2017-04,2017,4,11.326618082957536,12.135504837613507,-0.8088867546559708
MPI-M,MPI-ESM1-2-LR,r1i1p1f1,gn,ssp585,2017-05,2017,5,10.52153961852684,11.393198298032384,-0.8716586795055452
MPI-M,MPI-ESM1-2-LR,r1i1p1f1,gn,ssp585,2017-06,2017,6,8.635763858297521,9.671095999829578,-1.0353321415320575
MPI-M,MPI-ESM1-2-LR,r1i1p1f1,gn,ssp585,2017-07,2017,7,5.856034233450817,7.215147840636694,-1.3591136071858765
MPI-M,MPI-ESM1-2-LR,r1i1p1f1,gn,ssp585,2017-08,2017,8,4.195993194948231,5.642142380594146,-1.4461491856459148
MPI-M,MPI-ESM1-2-LR,r1i1p1f1,gn,ssp585,2017-09,2017,9,3.951496482839825,5.4605797082898695,-1.5090832254500444
MPI-M,MPI-ESM1-2-LR,r1i1p1f1,gn,ssp585,2017-10,2017,10,5.386605737045516,7.102370541760757,-1.7157648047152412
MPI-M,MPI-ESM1-2-LR,r1i1p1f1,gn,ssp585,2017-11,2017,11,7.491985823025289,9.426893207124081,-1.9349073840987918
MPI-M,MPI-ESM1-2-LR,r1i1p1f1,gn,ssp585,2017-12,2017,12,9.560663955174492,11.18721110355299,-1.6265471483784975
MPI-M,MPI-ESM1-2-LR,r1i1p1f1,gn,ssp585,2018-01,2018,1,10.643970571405166,12.020660404907204,-1.3766898335020379
MPI-M,MPI-ESM1-2-LR,r1i1p1f1,gn,ssp585,2018-02,2018,2,11.31951575758487,12.256828299507964,-0.9373125419230934
MPI-M,MPI-ESM1-2-LR,r1i1p1f1,gn,ssp585,2018-03,2018,3,11.50900249165741,12.317463538359021,-0.8084610467016109
MPI-M,MPI-ESM1-2-LR,r1i1p1f1,gn,ssp585,2018-04,2018,4,11.341661523531727,12.135504837613507,-0.79384331408178
MPI-M,MPI-ESM1-2-LR,r1i1p1f1,gn,ssp585,2018-05,2018,5,10.426965451453157,11.393198298032384,-0.9662328465792278
MPI-M,MPI-ESM1-2-LR,r1i1p1f1,gn,ssp585,2018-06,2018,6,8.174974815032659,9.671095999829578,-1.4961211847969196
MPI-M,MPI-ESM1-2-LR,r1i1p1f1,gn,ssp585,2018-07,2018,7,5.603775837879154,7.215147840636694,-1.6113720027575393
MPI-M,MPI-ESM1-2-LR,r1i1p1f1,gn,ssp585,2018-08,2018,8,3.805447590215597,5.642142380594146,-1.8366947903785493
MPI-M,MPI-ESM1-2-LR,r1i1p1f1,gn,ssp585,2018-09,2018,9,3.612696043044208,5.4605797082898695,-1.8478836652456616
MPI-M,MPI-ESM1-2-LR,r1i1p1f1,gn,ssp585,2018-10,2018,10,5.525418233954538,7.102370541760757,-1.576952307806219
MPI-M,MPI-ESM1-2-LR,r1i1p1f1,gn,ssp585,2018-11,2018,11,7.906208645087443,9.426893207124081,-1.5206845620366378
MPI-M,MPI-ESM1-2-LR,r1i1p1f1,gn,ssp585,2018-12,2018,12,9.622766024805816,11.18721110355299,-1.5644450787471733
MPI-M,MPI-ESM1-2-LR,r1i1p1f1,gn,ssp585,2019-01,2019,1,11.037417060756333,12.020660404907204,-0.9832433441508712
MPI-M,MPI-ESM1-2-LR,r1i1p1f1,gn,ssp585,2019-02,2019,2,11.435291357888227,12.256828299507964,-0.8215369416197369
MPI-M,MPI-ESM1-2-LR,r1i1p1f1,gn,ssp585,2019-03,2019,3,11.623245458610313,12.317463538359021,-0.6942180797487083
MPI-M,MPI-ESM1-2-LR,r1i1p1f1,gn,ssp585,2019-04,2019,4,11.623577939922573,12.135504837613507,-0.5119268976909339
MPI-M,MPI-ESM1-2-LR,r1i1p1f1,gn,ssp585,2019-05,2019,5,10.774109351751546,11.393198298032384,-0.6190889462808382
MPI-M,MPI-ESM1-2-LR,r1i1p1f1,gn,ssp585,2019-06,2019,6,8.720611194562496,9.671095999829578,-0.9504848052670827
MPI-M,MPI-ESM1-2-LR,r1i1p1f1,gn,ssp585,2019-07,2019,7,5.611806864296336,7.215147840636694,-1.6033409763403572
MPI-M,MPI-ESM1-2-LR,r1i1p1f1,gn,ssp585,2019-08,2019,8,3.410502672170726,5.642142380594146,-2.2316397084234203
MPI-M,MPI-ESM1-2-LR,r1i1p1f1,gn,ssp585,2019-09,2019,9,2.9917721383811258,5.4605797082898695,-2.4688075699087437
MPI-M,MPI-ESM1-2-LR,r1i1p1f1,gn,ssp585,2019-10,2019,10,4.86060290973456,7.102370541760757,-2.241767632026197
MPI-M,MPI-ESM1-2-LR,r1i1p1f1,gn,ssp585,2019-11,2019,11,8.138943552825797,9.426893207124081,-1.2879496542982842
MPI-M,MPI-ESM1-2-LR,r1i1p1f1,gn,ssp585,2019-12,2019,12,10.08619816720123,11.18721110355299,-1.1010129363517596
MPI-M,MPI-ESM1-2-LR,r1i1p1f1,gn,ssp585,2020-01,2020,1,11.377214375174605,12.020660404907204,-0.6434460297325995
MPI-M,MPI-ESM1-2-LR,r1i1p1f1,gn,ssp585,2020-02,2020,2,11.76109934872357,12.256828299507964,-0.49572895078439316
MPI-M,MPI-ESM1-2-LR,r1i1p1f1,gn,ssp585,2020-03,2020,3,11.840614437016098,12.317463538359021,-0.476849101342923
MPI-M,MPI-ESM1-2-LR,r1i1p1f1,gn,ssp585,2020-04,2020,4,11.594919619858581,12.135504837613507,-0.5405852177549253
MPI-M,MPI-ESM1-2-LR,r1i1p1f1,gn,ssp585,2020-05,2020,5,10.602829341692324,11.393198298032384,-0.7903689563400604
MPI-M,MPI-ESM1-2-LR,r1i1p1f1,gn,ssp585,2020-06,2020,6,8.395249408294674,9.671095999829578,-1.2758465915349042
MPI-M,MPI-ESM1-2-LR,r1i1p1f1,gn,ssp585,2020-07,2020,7,5.391878948015517,7.215147840636694,-1.8232688926211766
