institution,source,member,grid,experiment,time,year,month,rsds_into_surface_Wm2,rlds_into_surface_Wm2,rsus_into_surface_Wm2,rlus_into_surface_Wm2,hfss_into_surface_Wm2,hfls_into_surface_Wm2,seb_Wm2,pi_clim_rsds_into_surface_Wm2,pi_clim_rlds_into_surface_Wm2,pi_clim_rsus_into_surface_Wm2,pi_clim_rlus_into_surface_Wm2,pi_clim_hfss_into_surface_Wm2,pi_clim_hfls_into_surface_Wm2,pi_clim_seb_Wm2,rsds_into_surface_Wm2_anom,rlds_into_surface_Wm2_anom,rsus_into_surface_Wm2_anom,rlus_into_surface_Wm2_anom,hfss_into_surface_Wm2_anom,hfls_into_surface_Wm2_anom,seb_anom_Wm2
NUIST,NESM3,r1i1p1f1,gn,ssp585,2015-01,2015,1,2.211176865698558,209.44835359060437,-1.0407590408470164,-243.1520415869654,-23.206840715807026,-17.73871519259213,-73.47882607990864,2.446585914717083,185.86165733653004,-1.3085783509498838,-220.05494478534015,-17.426490073886434,-14.140507636099592,-65.53747146033248,-0.235409049018525,23.586696254074326,0.2678193101028674,-23.09709680162524,-5.780350641920592,-3.5982075564925395,-7.94135461957616
NUIST,NESM3,r1i1p1f1,gn,ssp585,2015-02,2015,2,12.406951360716352,198.80169845285457,-7.380911757424706,-231.24130309373467,-17.7995966941081,-14.743235759211794,-59.95639749090835,13.473195922314508,180.73324567608384,-8.577843240202712,-212.55956631666825,-13.47386725072222,-12.503197638330077,-53.45857741742713,-1.0662445615981557,18.068452776770727,1.1969314827780062,-18.68173677706642,-4.32572944338588,-2.2400381208817173,-6.497820073481222
NUIST,NESM3,r1i1p1f1,gn,ssp585,2015-03,2015,3,55.0503727515223,200.8690269124002,-36.678069223991585,-231.5170295334616,-18.557264345301267,-15.415400382114814,-46.248363820946786,59.168811026668884,185.99925909387204,-41.4011536493418,-218.04113727704163,-12.545802744933173,-11.07801783119205,-38.4436642272484,-4.1184382751465805,14.869767818528146,4.7230844253502156,-13.475892256419968,-6.011461600368094,-4.337382550922765,-7.804699593698388
NUIST,NESM3,r1i1p1f1,gn,ssp585,2015-04,2015,4,137.2961666540344,230.96839685476604,-94.13865345059227,-259.73292266245244,-11.749037985570478,-10.480183935420033,-7.836234525234744,150.6671542462786,211.87677508798302,-108.24915364982895,-246.21654213199767,-13.766981607850138,-10.37929707843332,-16.275639973098407,-13.370987592244205,19.09162176678302,14.110500199236682,-13.516380530454768,2.0179436222796596,-0.10088685698671362,8.439405447863663
NUIST,NESM3,r1i1p1f1,gn,ssp585,2015-05,2015,5,212.25127444293074,274.6271958826249,-128.3187516623852,-303.7763754056606,-14.329833186549811,-17.846436817210115,22.607073253749913,231.83848215462706,260.72258147574644,-155.70966927567855,-292.4069070974468,-14.898881941671023,-14.688409803090495,15.287188494836935,-19.587207711696323,13.904614406878466,27.39091761329334,-11.369468308213811,0.5690487551212122,-3.15802701411962,7.319884758912979
NUIST,NESM3,r1i1p1f1,gn,ssp585,2015-06,2015,6,242.32972381089897,295.5637051026133,-93.39776858896923,-323.01985678879527,-7.723821035232292,-14.545738015486226,99.20624448502922,245.41690263466225,293.7369591005629,-111.28452167945993,-320.40271212305464,-7.592663883914799,-13.592424046647904,86.92010365571817,-3.0871788237632813,1.8267460020504132,17.8867530904907,-2.617144665740625,-0.13115715131749273,-0.9533139688383212,12.286140829311051
NUIST,NESM3,r1i1p1f1,gn,ssp585,2015-07,2015,7,198.46062708744986,308.1129017673387,-55.52926087689556,-331.25209833389596,-4.387128358338502,-10.471866247957083,104.93317503770147,202.32254593660772,303.27533124977924,-66.42561779189461,-325.88677416693383,-3.4696582363388124,-9.60862827696502,100.71992499418187,-3.8619188491578598,4.83757051755947,10.896356914999046,-5.365324166962125,-0.9174701219996892,-0.8632379709920635,4.213250043519608
NUIST,NESM3,r1i1p1f1,gn,ssp585,2015-08,2015,8,113.38404606661696,312.32948387117597,-18.20308179088843,-333.05280250448425,-4.725900022623157,-12.917582154634339,56.8141634651628,118.61807302656453,305.6188402435014,-28.340312927293215,-327.366267926943,-5.533629984522402,-12.557680355806662,50.96026056155302,-5.23402695994757,6.710643627674585,10.137231136404786,-5.686534577541238,0.8077299618992448,-0.3599017988276767,5.853902903609779
NUIST,NESM3,r1i1p1f1,gn,ssp585,2015-09,2015,9,50.66420693739739,302.62376114322666,-7.098502475295535,-326.61606460911344,-12.085938776461429,-18.510509123085296,-11.023046903331654,53.38889523515117,291.3380191542852,-12.464621260198081,-317.3367141932359,-13.100857290986722,-19.01717811616363,-17.12626827685252,-2.7246882977537794,11.285741988941481,5.366118784902546,-9.279350415877559,1.0149185145252932,0.5066689930783355,6.103221373520867
NUIST,NESM3,r1i1p1f1,gn,ssp585,2015-10,2015,10,15.914710613625367,280.6836979699016,-2.3098310976020353,-313.19418289621706,-25.169899822705393,-28.343736919879653,-72.41924215287725,16.279641132109884,263.7355075228357,-3.9574386541452182,-294.76447944035726,-23.36885933074609,-22.143784730149918,-64.44316501941172,-0.36493051848451685,16.948190447065883,1.647607556543183,-18.429703455859794,-1.8010404919593022,-6.199952189729736,-7.976077133465523
NUIST,NESM3,r1i1p1f1,gn,ssp585,2015-11,2015,11,3.5555042384766904,258.135644572315,-0.6546301047811979,-293.87042115015123,-29.045402859889542,-26.37550031133892,-88.25480561536914,3.2813563124474334,232.44132986527228,-0.7388588703505768,-266.51974811512343,-28.519543385785756,-20.51667881986812,-81.28227839845822,0.27414792602925697,25.694314707042736,0.08422876556937897,-27.350673035027796,-0.5258594741037861,-5.858821491470803,-6.972527216910919
NUIST,NESM3,r1i1p1f1,gn,ssp585,2015-12,2015,12,0.9451882929848868,242.4271739721412,-0.25030149772179905,-272.5607124358565,-23.76739756086838,-17.04690424344219,-70.25295347276278,1.0526314819430418,203.15719156687376,-0.3834343078791192,-238.84088934053773,-23.71165340447291,-16.66175589029797,-76.24517977031121,-0.10744318895815497,39.26998240526743,0.13313281015732015,-33.71982309531876,-0.0557441563954697,-0.385148353144217,5.992226297548427
NUIST,NESM3,r1i1p1f1,gn,ssp585,2016-01,2016,1,2.207142914295981,212.8355808846541,-1.0302294605276665,-246.46485598178393,-25.90717405093243,-19.542675872029516,-77.90221156632346,2.446585914717083,185.86165733653004,-1.3085783509498838,-220.05494478534015,-17.426490073886434,-14.140507636099592,-65.53747146033248,-0.23944300042110234,26.97392354812405,0.27834889042221733,-26.409911196443772,-8.480683977045995,-5.402168235929924,-12.364740105990975
NUIST,NESM3,r1i1p1f1,gn,ssp585,2016-02,2016,2,12.428522270247,207.13935268935882,-6.822875757125624,-237.55720356875298,-12.919642673455092,-13.589915454960929,-51.32176249468879,13.473195922314508,180.73324567608384,-8.577843240202712,-212.55956631666825,-13.47386725072222,-12.503197638330077,-53.45857741742713,-1.044673652067507,26.406107013274976,1.7549674830770883,-24.99763725208473,0.5542245772671279,-1.086717816630852,2.1368149227383384
NUIST,NESM3,r1i1p1f1,gn,ssp585,2016-03,2016,3,54.960860959973466,206.1582881747948,-35.43922535280308,-239.74359173111293,-20.265212163505502,-15.647765760855156,-49.97664587350843,59.168811026668884,185.99925909387204,-41.4011536493418,-218.04113727704163,-12.545802744933173,-11.07801783119205,-38.4436642272484,-4.2079500666954175,20.15902908092275,5.961928296538723,-21.7024544540713,-7.719409418572329,-4.569747929663107,-11.532981646260033
NUIST,NESM3,r1i1p1f1,gn,ssp585,2016-04,2016,4,143.28552359156603,220.74301886910513,-98.50640793216304,-256.14969020484835,-16.504643733051946,-13.557606999402953,-20.68980640879515,150.6671542462786,211.87677508798302,-108.24915364982895,-246.21654213199767,-13.766981607850138,-10.37929707843332,-16.275639973098407,-7.3816306547125805,8.866243781122108,9.742745717665912,-9.933148072850685,-2.7376621252018083,-3.1783099209696335,-4.4141664356967425
NUIST,NESM3,r1i1p1f1,gn,ssp585,2016-05,2016,5,216.60066868731136,271.19821009951096,-134.75642832891316,-300.5146690939605,-16.13138134438155,-17.315646508890048,19.08075351067709,231.83848215462706,260.72258147574644,-155.70966927567855,-292.4069070974468,-14.898881941671023,-14.688409803090495,15.287188494836935,-15.237813467315704,10.475628623764521,20.95324094676539,-8.107761996513716,-1.2324994027105252,-2.627236705799552,3.793565015840157
NUIST,NESM3,r1i1p1f1,gn,ssp585,2016-06,2016,6,245.8475248243279,296.17885018553375,-95.28164085672002,-323.15111152985486,-5.415288829418653,-11.664180615331581,106.51415317853659,245.41690263466225,293.7369591005629,-111.28452167945993,-320.40271212305464,-7.592663883914799,-13.592424046647904,86.92010365571817,0.43062218966565524,2.441891084970848,16.00288082273991,-2.7483994068002175,2.177375054496146,1.9282434313163233,19.594049522818423
NUIST,NESM3,r1i1p1f1,gn,ssp585,2016-07,2016,7,202.42780848968113,309.8671508732327,-50.17027363954052,-332.78032511309306,-1.7111506609399059,-8.461626965476425,119.17158298386387,202.32254593660772,303.27533124977924,-66.42561779189461,-325.88677416693383,-3.4696582363388124,-9.60862827696502,100.71992499418187,0.10526255307340193,6.591819623453432,16.25534415235409,-6.893550946159223,1.7585075753989066,1.1470013114885944,18.451657989682005
