institution,source,member,grid,experiment,year,seb_Wm2,seb_anom_Wm2
CAS,FGOALS-g3,r1i1p1f1,gn,ssp585,2015,-20.31107802562517,1.184132024954217
CAS,FGOALS-g3,r1i1p1f1,gn,ssp585,2016,-16.815819832311718,4.679390218267671
CAS,FGOALS-g3,r1i1p1f1,gn,ssp585,2017,-19.577694357805463,1.9175156927739272
CAS,FGOALS-g3,r1i1p1f1,gn,ssp585,2018,-19.685016829255076,1.810193221324316
CAS,FGOALS-g3,r1i1p1f1,gn,ssp585,2019,-19.872026125909557,1.6231839246698356
CAS,FGOALS-g3,r1i1p1f1,gn,ssp585,2020,-19.43099704968736,2.0642130008920287
CAS,FGOALS-g3,r1i1p1f1,gn,ssp585,2021,-18.81334566195771,2.681864388621677
CAS,FGOALS-g3,r1i1p1f1,gn,ssp585,2022,-16.48834295660132,5.006867093978071
CAS,FGOALS-g3,r1i1p1f1,gn,ssp585,2023,-20.469164893674343,1.026045156905049
CAS,FGOALS-g3,r1i1p1f1,gn,ssp585,2024,-21.40370744979101,0.0915026007883798
CAS,FGOALS-g3,r1i1p1f1,gn,ssp585,2025,-20.25100159015496,1.2442084604244312
CAS,FGOALS-g3,r1i1p1f1,gn,ssp585,2026,-16.00008810998089,5.495121940598502
CAS,FGOALS-g3,r1i1p1f1,gn,ssp585,2027,-20.35831046087229,1.1368995897071
CAS,FGOALS-g3,r1i1p1f1,gn,ssp585,2028,-18.29467520496286,3.2005348456165272
CAS,FGOALS-g3,r1i1p1f1,gn,ssp585,2029,-17.717985876500567,3.7772241740788246
CAS,FGOALS-g3,r1i1p1f1,gn,ssp585,2030,-17.522163916439823,3.973046134139568
CAS,FGOALS-g3,r1i1p1f1,gn,ssp585,2031,-18.407998363244293,3.087211687335097
CAS,FGOALS-g3,r1i1p1f1,gn,ssp585,2032,-18.791569956344777,2.7036400942346126
CAS,FGOALS-g3,r1i1p1f1,gn,ssp585,2033,-18.57376438237935,2.921445668200043
CAS,FGOALS-g3,r1i1p1f1,gn,ssp585,2034,-14.942412721649845,6.552797328929546
CAS,FGOALS-g3,r1i1p1f1,gn,ssp585,2035,-17.219791553332357,4.275418497247032
CAS,FGOALS-g3,r1i1p1f1,gn,ssp585,2036,-14.87273464715373,6.62247540342566
CAS,FGOALS-g3,r1i1p1f1,gn,ssp585,2037,-14.056570027380522,7.438640023198872
CAS,FGOALS-g3,r1i1p1f1,gn,ssp585,2038,-17.540154671120053,3.955055379459335
CAS,FGOALS-g3,r1i1p1f1,gn,ssp585,2039,-18.453696003341022,3.041514047238368
CAS,FGOALS-g3,r1i1p1f1,gn,ssp585,2040,-20.541188739650515,0.954021310928874
CAS,FGOALS-g3,r1i1p1f1,gn,ssp585,2041,-15.382284962962204,6.112925087617188
CAS,FGOALS-g3,r1i1p1f1,gn,ssp585,2042,-15.872239713464774,5.622970337114613
CAS,FGOALS-g3,r1i1p1f1,gn,ssp585,2043,-19.010573167346195,2.484636883233195
CAS,FGOALS-g3,r1i1p1f1,gn,ssp585,2044,-16.70112964732499,4.794080403254399
CAS,FGOALS-g3,r1i1p1f1,gn,ssp585,2045,-18.987062508451533,2.5081475421278543
CAS,FGOALS-g3,r1i1p1f1,gn,ssp585,2046,-15.30695323010488,6.188256820474508
CAS,FGOALS-g3,r1i1p1f1,gn,ssp585,2047,-22.43776574672646,-0.9425556961470684
CAS,FGOALS-g3,r1i1p1f1,gn,ssp585,2048,-16.807144371956976,4.688065678622412
CAS,FGOALS-g3,r1i1p1f1,gn,ssp585,2049,-20.66065951070826,0.8345505398711284
CAS,FGOALS-g3,r1i1p1f1,gn,ssp585,2050,-16.92301019135517,4.572199859224221
CAS,FGOALS-g3,r1i1p1f1,gn,ssp585,2051,-21.19984192090259,0.2953681296768027
CAS,FGOALS-g3,r1i1p1f1,gn,ssp585,2052,-19.5300502150418,1.9651598355375937
CAS,FGOALS-g3,r1i1p1f1,gn,ssp585,2053,-16.52875387818507,4.96645617239432
CAS,FGOALS-g3,r1i1p1f1,gn,ssp585,2054,-19.61078780904564,1.8844222415337544
CAS,FGOALS-g3,r1i1p1f1,gn,ssp585,2055,-19.61153048692108,1.8836795636583092
CAS,FGOALS-g3,r1i1p1f1,gn,ssp585,2056,-20.10371072152557,1.3914993290538202
CAS,FGOALS-g3,r1i1p1f1,gn,ssp585,2057,-16.044966744101774,5.450243306477616
CAS,FGOALS-g3,r1i1p1f1,gn,ssp585,2058,-19.45949325709184,2.035716793487548
CAS,FGOALS-g3,r1i1p1f1,gn,ssp585,2059,-16.97185563184471,4.523354418734679
CAS,FGOALS-g3,r1i1p1f1,gn,ssp585,2060,-18.35663000820973,3.138580042369661
CAS,FGOALS-g3,r1i1p1f1,gn,ssp585,2061,-20.14336232237273,1.351847728206655
CAS,FGOALS-g3,r1i1p1f1,gn,ssp585,2062,-17.44992971691785,4.04528033366154
CAS,FGOALS-g3,r1i1p1f1,gn,ssp585,2063,-16.43019587758582,5.06501417299357
CAS,FGOALS-g3,r1i1p1f1,gn,ssp585,2064,-15.349522000517185,6.145688050062204
CAS,FGOALS-g3,r1i1p1f1,gn,ssp585,2065,-17.87558842201906,3.61962162856033
CAS,FGOALS-g3,r1i1p1f1,gn,ssp585,2066,-16.488896524454987,5.006313526124404
CAS,FGOALS-g3,r1i1p1f1,gn,ssp585,2067,-16.91464669277712,4.580563357802272
CAS,FGOALS-g3,r1i1p1f1,gn,ssp585,2068,-16.052481990869527,5.44272805970986
CAS,FGOALS-g3,r1i1p1f1,gn,ssp585,2069,-13.58516972521045,7.910040325368938
CAS,FGOALS-g3,r1i1p1f1,gn,ssp585,2070,-16.820509966554585,4.674700084024805
CAS,FGOALS-g3,r1i1p1f1,gn,ssp585,2071,-18.484413601792824,3.010796448786565
CAS,FGOALS-g3,r1i1p1f1,gn,ssp585,2072,-14.954012088257503,6.541197962321885
CAS,FGOALS-g3,r1i1p1f1,gn,ssp585,2073,-15.42293984799761,6.07227020258178
CAS,FGOALS-g3,r1i1p1f1,gn,ssp585,2074,-12.50917558013058,8.986034470448812
CAS,FGOALS-g3,r1i1p1f1,gn,ssp585,2075,-18.79842537374879,2.696784676830602
CAS,FGOALS-g3,r1i1p1f1,gn,ssp585,2076,-20.178260715209525,1.3169493353698638
CAS,FGOALS-g3,r1i1p1f1,gn,ssp585,2077,-16.92045122530068,4.5747588252787095
CAS,FGOALS-g3,r1i1p1f1,gn,ssp585,2078,-16.03679607986727,5.458413970712119
CAS,FGOALS-g3,r1i1p1f1,gn,ssp585,2079,-15.010407758015148,6.484802292564241
CAS,FGOALS-g3,r1i1p1f1,gn,ssp585,2080,-15.262718898335908,6.232491152243483
CAS,FGOALS-g3,r1i1p1f1,gn,ssp585,2081,-17.748888337664123,3.7463217129152686
CAS,FGOALS-g3,r1i1p1f1,gn,ssp585,2082,-16.930421503334713,4.5647885472446745
CAS,FGOALS-g3,r1i1p1f1,gn,ssp585,2083,-14.38298944023353,7.112220610345861
CAS,FGOALS-g3,r1i1p1f1,gn,ssp585,2084,-16.122652067396647,5.372557983182745
CAS,FGOALS-g3,r1i1p1f1,gn,ssp585,2085,-17.215025551458485,4.280184499120901
CAS,FGOALS-g3,r1i1p1f1,gn,ssp585,2086,-17.4543496223101,4.04086042826929
CAS,FGOALS-g3,r1i1p1f1,gn,ssp585,2087,-18.562323560199104,2.932886490380285
CAS,FGOALS-g3,r1i1p1f1,gn,ssp585,2088,-16.91865932160201,4.576550728977377
CAS,FGOALS-g3,r1i1p1f1,gn,ssp585,2089,-11.548414448312466,9.946795602266924
CAS,FGOALS-g3,r1i1p1f1,gn,ssp585,2090,-14.581577601725252,6.9136324488541385
CAS,FGOALS-g3,r1i1p1f1,gn,ssp585,2091,-14.78160027057987,6.71360977999952
CAS,FGOALS-g3,r1i1p1f1,gn,ssp585,2092,-19.42522482257394,2.069985228005452
CAS,FGOALS-g3,r1i1p1f1,gn,ssp585,2093,-15.635587052299892,5.859622998279497
CAS,FGOALS-g3,r1i1p1f1,gn,ssp585,2094,-17.593895500929033,3.901314549650359
CAS,FGOALS-g3,r1i1p1f1,gn,ssp585,2095,-21.00942551644599,0.4857845341334013
CAS,FGOALS-g3,r1i1p1f1,gn,ssp585,2096,-15.94899052916709,5.5462195214123
CAS,FGOALS-g3,r1i1p1f1,gn,ssp585,2097,-15.540435513700032,5.954774536879359
CAS,FGOALS-g3,r1i1p1f1,gn,ssp585,2098,-17.624036821403546,3.8711732291758416
CAS,FGOALS-g3,r1i1p1f1,gn,ssp585,2099,-10.987518391237336,10.507691659342056
CAS,FGOALS-g3,r1i1p1f1,gn,ssp585,2100,-19.626703399308827,1.868506651270562
CCCma,CanESM5,r1i1p1f1,gn,ssp585,2015,-21.79619516915252,-2.071430950470843
CCCma,CanESM5,r1i1p1f1,gn,ssp585,2016,-19.27262037672951,0.4521438419521697
CCCma,CanESM5,r1i1p1f1,gn,ssp585,2017,-16.529698439878242,3.195065778803436
CCCma,CanESM5,r1i1p1f1,gn,ssp585,2018,-18.39770811235816,1.3270561063235224
CCCma,CanESM5,r1i1p1f1,gn,ssp585,2019,-21.42606539781315,-1.7013011791314714
CCCma,CanESM5,r1i1p1f1,gn,ssp585,2020,-19.89435434343937,-0.1695901247576941
CCCma,CanESM5,r1i1p1f1,gn,ssp585,2021,-22.37450371156569,-2.649739492884017
CCCma,CanESM5,r1i1p1f1,gn,ssp585,2022,-17.43723882633832,2.287525392343358
CCCma,CanESM5,r1i1p1f1,gn,ssp585,2023,-22.767164656194065,-3.0424004375123856
CCCma,CanESM5,r1i1p1f1,gn,ssp585,2024,-23.03285158022656,-3.3080873615448816
CCCma,CanESM5,r1i1p1f1,gn,ssp585,2025,-19.010114688069947,0.7146495306117308
CCCma,CanESM5,r1i1p1f1,gn,ssp585,2026,-16.633430156924536,3.091334061757145
CCCma,CanESM5,r1i1p1f1,gn,ssp585,2027,-17.611992198761325,2.112772019920358
CCCma,CanESM5,r1i1p1f1,gn,ssp585,2028,-21.65615639675332,-1.931392178071637
CCCma,CanESM5,r1i1p1f1,gn,ssp585,2029,-23.19261608014808,-3.4678518614664005
CCCma,CanESM5,r1i1p1f1,gn,ssp585,2030,-20.49786222260751,-0.7730980039258283
CCCma,CanESM5,r1i1p1f1,gn,ssp585,2031,-20.08178446895445,-0.3570202502727688
CCCma,CanESM5,r1i1p1f1,gn,ssp585,2032,-22.36972215687932,-2.644957938197641
CCCma,CanESM5,r1i1p1f1,gn,ssp585,2033,-18.77718485452083,0.9475793641608472
CCCma,CanESM5,r1i1p1f1,gn,ssp585,2034,-20.65159188522836,-0.9268276665466793
CCCma,CanESM5,r1i1p1f1,gn,ssp585,2035,-19.38223047343081,0.3425337452508732
CCCma,CanESM5,r1i1p1f1,gn,ssp585,2036,-20.45812473588712,-0.7333605172054387
CCCma,CanESM5,r1i1p1f1,gn,ssp585,2037,-15.85892070744968,3.865843511232
CCCma,CanESM5,r1i1p1f1,gn,ssp585,2038,-16.948635251742193,2.7761289669394884
CCCma,CanESM5,r1i1p1f1,gn,ssp585,2039,-21.794474398962404,-2.0697101802807203
CCCma,CanESM5,r1i1p1f1,gn,ssp585,2040,-17.448459409507418,2.2763048091742637
